,symbol,date,price
343,Annual growth %,Jan 1 1971,17.76267
344,Annual growth %,Jan 1 1972,-7.274261
345,Annual growth %,Jan 1 1973,10.795438
346,Annual growth %,Jan 1 1974,10.71122
347,Annual growth %,Jan 1 1975,4.778958
348,Annual growth %,Jan 1 1976,4.271023
349,Annual growth %,Jan 1 1977,11.042517
350,Annual growth %,Jan 1 1978,1.873137
351,Annual growth %,Jan 1 1979,14.214308
352,Annual growth %,Jan 1 1980,8.930279
353,Annual growth %,Jan 1 1981,1.917901
354,Annual growth %,Jan 1 1982,1.193232
355,Annual growth %,Jan 1 1983,6.461714
356,Annual growth %,Jan 1 1984,3.997256
357,Annual growth %,Jan 1 1985,-5.535828
358,Annual growth %,Jan 1 1986,18.215171
359,Annual growth %,Jan 1 1987,1.175609
360,Annual growth %,Jan 1 1988,14.831176
361,Annual growth %,Jan 1 1989,-40.509496
362,Annual growth %,Jan 1 1990,81.801477
363,Annual growth %,Jan 1 1991,32.341578
364,Annual growth %,Jan 1 1992,18.974705
365,Annual growth %,Jan 1 1993,2.143532
366,Annual growth %,Jan 1 1994,7.476452
367,Annual growth %,Jan 1 1995,-1.068045
368,Annual growth %,Jan 1 1996,4.229065
369,Annual growth %,Jan 1 1997,6.386225
370,Annual growth %,Jan 1 1998,0.930035
371,Annual growth %,Jan 1 1999,-6.209922
372,Annual growth %,Jan 1 2000,-0.857084
373,Annual growth %,Jan 1 2001,-6.483182
374,Annual growth %,Jan 1 2002,-62.451496
375,Annual growth %,Jan 1 2003,25.648505
376,Annual growth %,Jan 1 2004,16.918773
377,Annual growth %,Jan 1 2005,19.648462
378,Annual growth %,Jan 1 2006,15.65179
379,Annual growth %,Jan 1 2007,22.391652
380,Annual growth %,Jan 1 2008,24.94445
381,Annual growth %,Jan 1 2009,-8.924054
382,Annual growth %,Jan 1 2010,25.514789
383,Annual growth %,Jan 1 2011,23.030235
384,Annual growth %,Jan 1 2012,8.529472
385,Annual growth %,Jan 1 2013,4.381885
386,Annual growth %,Jan 1 2014,-8.500884
387,Annual growth %,Jan 1 2015,12.573309
388,Annual growth %,Jan 1 2016,-14.408373
389,Annual growth %,Jan 1 2017,14.150339
390,Annual growth %,Jan 1 2018,-19.883897
391,Annual growth %,Jan 1 2019,-14.315228
