,symbol,date,price
597,Annual growth %,Jan 1 1971,0.925696
598,Annual growth %,Jan 1 1972,5.123274
599,Annual growth %,Jan 1 1973,12.100416
600,Annual growth %,Jan 1 1974,18.892812
601,Annual growth %,Jan 1 1975,-8.485071
602,Annual growth %,Jan 1 1976,7.866933
603,Annual growth %,Jan 1 1977,3.929635
604,Annual growth %,Jan 1 1978,14.060728
605,Annual growth %,Jan 1 1979,18.842132
606,Annual growth %,Jan 1 1980,17.374824
607,Annual growth %,Jan 1 1981,1.321852
608,Annual growth %,Jan 1 1982,10.115668
609,Annual growth %,Jan 1 1983,8.877045
610,Annual growth %,Jan 1 1984,4.552264
611,Annual growth %,Jan 1 1985,6.738972
612,Annual growth %,Jan 1 1986,6.092373
613,Annual growth %,Jan 1 1987,8.17554
614,Annual growth %,Jan 1 1988,2.215394
615,Annual growth %,Jan 1 1989,10.807134
616,Annual growth %,Jan 1 1990,1.559191
617,Annual growth %,Jan 1 1991,-3.524677
618,Annual growth %,Jan 1 1992,-1.950475
619,Annual growth %,Jan 1 1993,-2.405506
620,Annual growth %,Jan 1 1994,3.570214
621,Annual growth %,Jan 1 1995,3.608589
622,Annual growth %,Jan 1 1996,11.996674
623,Annual growth %,Jan 1 1997,6.744585
624,Annual growth %,Jan 1 1998,6.705783
625,Annual growth %,Jan 1 1999,11.124493
626,Annual growth %,Jan 1 2000,3.702641
627,Annual growth %,Jan 1 2001,1.433428
628,Annual growth %,Jan 1 2002,5.023599
629,Annual growth %,Jan 1 2003,-1.869365
630,Annual growth %,Jan 1 2004,0.242357
631,Annual growth %,Jan 1 2005,6.629151
632,Annual growth %,Jan 1 2006,1.438286
633,Annual growth %,Jan 1 2007,2.468346
634,Annual growth %,Jan 1 2008,-2.684107
635,Annual growth %,Jan 1 2009,-6.774799
636,Annual growth %,Jan 1 2010,-0.381001
637,Annual growth %,Jan 1 2011,-1.537635
638,Annual growth %,Jan 1 2012,5.282616
639,Annual growth %,Jan 1 2013,-2.381314
640,Annual growth %,Jan 1 2014,4.157196
641,Annual growth %,Jan 1 2015,4.386252
642,Annual growth %,Jan 1 2016,0.855282
643,Annual growth %,Jan 1 2017,3.663908
644,Annual growth %,Jan 1 2018,3.204893
645,Annual growth %,Jan 1 2019,3.245628
