,symbol,date,rate
646,Annual growth %,Jan 1 1971,4.043928
647,Annual growth %,Jan 1 1972,21.623447
648,Annual growth %,Jan 1 1973,36.341268
649,Annual growth %,Jan 1 1974,30.193356
650,Annual growth %,Jan 1 1975,-0.326748
651,Annual growth %,Jan 1 1976,35.180698
652,Annual growth %,Jan 1 1977,17.712295
653,Annual growth %,Jan 1 1978,7.045568
654,Annual growth %,Jan 1 1979,12.523604
655,Annual growth %,Jan 1 1980,22.799815
656,Annual growth %,Jan 1 1981,8.594653
657,Annual growth %,Jan 1 1982,1.908331
658,Annual growth %,Jan 1 1983,-0.263306
659,Annual growth %,Jan 1 1984,1.798529
660,Annual growth %,Jan 1 1985,-9.216854
661,Annual growth %,Jan 1 1986,-19.124949
662,Annual growth %,Jan 1 1987,-1.902444
663,Annual growth %,Jan 1 1988,5.980079
664,Annual growth %,Jan 1 1989,3.765498
665,Annual growth %,Jan 1 1990,6.339717
666,Annual growth %,Jan 1 1991,3.00309
667,Annual growth %,Jan 1 1992,1.852085
668,Annual growth %,Jan 1 1993,6.788005
669,Annual growth %,Jan 1 1994,5.173429
670,Annual growth %,Jan 1 1995,3.228147
671,Annual growth %,Jan 1 1996,1.318267
672,Annual growth %,Jan 1 1997,0.798754
673,Annual growth %,Jan 1 1998,-7.266447
674,Annual growth %,Jan 1 1999,4.465546
675,Annual growth %,Jan 1 2000,14.476668
676,Annual growth %,Jan 1 2001,-5.632887
677,Annual growth %,Jan 1 2002,1.410571
678,Annual growth %,Jan 1 2003,8.982867
679,Annual growth %,Jan 1 2004,11.422444
680,Annual growth %,Jan 1 2005,13.332277
681,Annual growth %,Jan 1 2006,7.507817
682,Annual growth %,Jan 1 2007,8.643992
683,Annual growth %,Jan 1 2008,9.963273
684,Annual growth %,Jan 1 2009,-16.086529
685,Annual growth %,Jan 1 2010,7.058469
686,Annual growth %,Jan 1 2011,8.648294
687,Annual growth %,Jan 1 2012,5.063918
688,Annual growth %,Jan 1 2013,4.608167
689,Annual growth %,Jan 1 2014,0.990109
690,Annual growth %,Jan 1 2015,-9.205809
691,Annual growth %,Jan 1 2016,-0.252867
692,Annual growth %,Jan 1 2017,4.910937
693,Annual growth %,Jan 1 2018,1.044577
694,Annual growth %,Jan 1 2019,-2.029887
