,symbol,date,rate
1116,Annual growth %,Jan 1 1991,-19.437884
1117,Annual growth %,Jan 1 1992,-20.101654
1118,Annual growth %,Jan 1 1993,-20.407716
1119,Annual growth %,Jan 1 1994,-19.568681
1120,Annual growth %,Jan 1 1995,-25.810815
1121,Annual growth %,Jan 1 1996,41.301888
1122,Annual growth %,Jan 1 1997,38.348218
1123,Annual growth %,Jan 1 1998,11.835077
1124,Annual growth %,Jan 1 1999,10.523681
1125,Annual growth %,Jan 1 2000,18.256009
1126,Annual growth %,Jan 1 2001,4.313924
1127,Annual growth %,Jan 1 2002,15.871978
1128,Annual growth %,Jan 1 2003,26.245081
1129,Annual growth %,Jan 1 2004,19.416668
1130,Annual growth %,Jan 1 2005,7.77399
1131,Annual growth %,Jan 1 2006,14.628514
1132,Annual growth %,Jan 1 2007,22.73605
1133,Annual growth %,Jan 1 2008,21.404841
1134,Annual growth %,Jan 1 2009,-7.389916
1135,Annual growth %,Jan 1 2010,-1.682777
1136,Annual growth %,Jan 1 2011,9.859487
1137,Annual growth %,Jan 1 2012,-6.162391
1138,Annual growth %,Jan 1 2013,7.386213
1139,Annual growth %,Jan 1 2014,3.862026
1140,Annual growth %,Jan 1 2015,-11.303447
1141,Annual growth %,Jan 1 2016,5.653849
1142,Annual growth %,Jan 1 2017,8.012034
1143,Annual growth %,Jan 1 2018,12.558598
1144,Annual growth %,Jan 1 2019,0.59801
