,symbol,date,rate
1145,Annual growth %,Jan 1 1971,28.107421
1146,Annual growth %,Jan 1 1972,26.119378
1147,Annual growth %,Jan 1 1973,42.841
1148,Annual growth %,Jan 1 1974,34.176983
1149,Annual growth %,Jan 1 1975,12.198
1150,Annual growth %,Jan 1 1976,4.31696
1151,Annual growth %,Jan 1 1977,23.995559
1152,Annual growth %,Jan 1 1978,14.520951
1153,Annual growth %,Jan 1 1979,25.497995
1154,Annual growth %,Jan 1 1980,38.131062
1155,Annual growth %,Jan 1 1981,10.305647
1156,Annual growth %,Jan 1 1982,-15.36008
1157,Annual growth %,Jan 1 1983,4.921274
1158,Annual growth %,Jan 1 1984,1.106321
1159,Annual growth %,Jan 1 1985,-16.716208
1160,Annual growth %,Jan 1 1986,28.653272
1161,Annual growth %,Jan 1 1987,32.524928
1162,Annual growth %,Jan 1 1988,11.589931
1163,Annual growth %,Jan 1 1989,62.885577
1164,Annual growth %,Jan 1 1990,19.166003
1165,Annual growth %,Jan 1 1991,0.826479
1166,Annual growth %,Jan 1 1992,2.344283
1167,Annual growth %,Jan 1 1993,-2.219646
1168,Annual growth %,Jan 1 1994,1.784252
1169,Annual growth %,Jan 1 1995,8.41165
1170,Annual growth %,Jan 1 1996,0.05513
1171,Annual growth %,Jan 1 1997,1.158824
1172,Annual growth %,Jan 1 1998,-6.720683
1173,Annual growth %,Jan 1 1999,12.033973
1174,Annual growth %,Jan 1 2000,3.42008
1175,Annual growth %,Jan 1 2001,-6.934809
1176,Annual growth %,Jan 1 2002,-2.666874
1177,Annual growth %,Jan 1 2003,35.739263
1178,Annual growth %,Jan 1 2004,17.147633
1179,Annual growth %,Jan 1 2005,8.802994
1180,Annual growth %,Jan 1 2006,-0.074663
1181,Annual growth %,Jan 1 2007,5.740554
1182,Annual growth %,Jan 1 2008,-2.042751
1183,Annual growth %,Jan 1 2009,-8.012948
1184,Annual growth %,Jan 1 2010,22.433543
1185,Annual growth %,Jan 1 2011,18.376593
1186,Annual growth %,Jan 1 2012,-7.180652
1187,Annual growth %,Jan 1 2013,2.186283
1188,Annual growth %,Jan 1 2014,7.692222
1189,Annual growth %,Jan 1 2015,-12.60554
1190,Annual growth %,Jan 1 2016,6.530732
1191,Annual growth %,Jan 1 2017,8.965399
1192,Annual growth %,Jan 1 2018,4.895827
1193,Annual growth %,Jan 1 2019,-3.84633
