,symbol,date,price
1488,Annual growth %,Jan 1 1971,11.694276
1489,Annual growth %,Jan 1 1972,12.884164
1490,Annual growth %,Jan 1 1973,23.76567
1491,Annual growth %,Jan 1 1974,0.498053
1492,Annual growth %,Jan 1 1975,16.409913
1493,Annual growth %,Jan 1 1976,-7.059888
1494,Annual growth %,Jan 1 1977,-6.873158
1495,Annual growth %,Jan 1 1978,13.922891
1496,Annual growth %,Jan 1 1979,5.853168
1497,Annual growth %,Jan 1 1980,10.153644
1498,Annual growth %,Jan 1 1981,-3.586919
1499,Annual growth %,Jan 1 1982,-1.068974
1500,Annual growth %,Jan 1 1983,-3.484599
1501,Annual growth %,Jan 1 1984,-6.495843
1502,Annual growth %,Jan 1 1985,2.47269
1503,Annual growth %,Jan 1 1986,36.272354
1504,Annual growth %,Jan 1 1987,22.075646
1505,Annual growth %,Jan 1 1988,10.775541
1506,Annual growth %,Jan 1 1989,-0.52483
1507,Annual growth %,Jan 1 1990,12.487547
1508,Annual growth %,Jan 1 1991,1.747738
1509,Annual growth %,Jan 1 1992,8.63916
1510,Annual growth %,Jan 1 1993,-1.973386
1511,Annual growth %,Jan 1 1994,10.025174
1512,Annual growth %,Jan 1 1995,16.873644
1513,Annual growth %,Jan 1 1996,0.499199
1514,Annual growth %,Jan 1 1997,-4.390849
1515,Annual growth %,Jan 1 1998,4.42132
1516,Annual growth %,Jan 1 1999,11.392675
1517,Annual growth %,Jan 1 2000,-11.284409
1518,Annual growth %,Jan 1 2001,2.610872
1519,Annual growth %,Jan 1 2002,8.489481
1520,Annual growth %,Jan 1 2003,29.04524
1521,Annual growth %,Jan 1 2004,11.894602
1522,Annual growth %,Jan 1 2005,3.699069
1523,Annual growth %,Jan 1 2006,12.492053
1524,Annual growth %,Jan 1 2007,18.667424
1525,Annual growth %,Jan 1 2008,16.769143
1526,Annual growth %,Jan 1 2009,-5.477775
1527,Annual growth %,Jan 1 2010,-3.955859
1528,Annual growth %,Jan 1 2011,10.65471
1529,Annual growth %,Jan 1 2012,-7.242168
1530,Annual growth %,Jan 1 2013,4.310053
1531,Annual growth %,Jan 1 2014,-0.875959
1532,Annual growth %,Jan 1 2015,-15.158149
1533,Annual growth %,Jan 1 2016,2.93263
1534,Annual growth %,Jan 1 2017,5.162958
1535,Annual growth %,Jan 1 2018,9.834155
1536,Annual growth %,Jan 1 2019,-0.350039
