,symbol,date,rate
1537,Annual growth %,Jan 1 1971,-2.180077
1538,Annual growth %,Jan 1 1972,-3.543934
1539,Annual growth %,Jan 1 1973,-16.190942
1540,Annual growth %,Jan 1 1974,2.141726
1541,Annual growth %,Jan 1 1975,7.91543
1542,Annual growth %,Jan 1 1976,7.209793
1543,Annual growth %,Jan 1 1977,-6.747363
1544,Annual growth %,Jan 1 1978,10.70729
1545,Annual growth %,Jan 1 1979,-2.990678
1546,Annual growth %,Jan 1 1980,4.030087
1547,Annual growth %,Jan 1 1981,8.597288
1548,Annual growth %,Jan 1 1982,3.570427
1549,Annual growth %,Jan 1 1983,4.736903
1550,Annual growth %,Jan 1 1984,4.661816
1551,Annual growth %,Jan 1 1985,4.242913
1552,Annual growth %,Jan 1 1986,2.618212
1553,Annual growth %,Jan 1 1987,20.934109
1554,Annual growth %,Jan 1 1988,16.900365
1555,Annual growth %,Jan 1 1989,0.605312
1556,Annual growth %,Jan 1 1990,-5.614608
1557,Annual growth %,Jan 1 1991,27.95345
1558,Annual growth %,Jan 1 1992,2.767564
1559,Annual growth %,Jan 1 1993,-1.85748
1560,Annual growth %,Jan 1 1994,6.25702
1561,Annual growth %,Jan 1 1995,19.734181
1562,Annual growth %,Jan 1 1996,2.810981
1563,Annual growth %,Jan 1 1997,-4.547184
1564,Annual growth %,Jan 1 1998,-11.466767
1565,Annual growth %,Jan 1 1999,9.526704
1566,Annual growth %,Jan 1 2000,2.071909
1567,Annual growth %,Jan 1 2001,6.672556
1568,Annual growth %,Jan 1 2002,5.480128
1569,Annual growth %,Jan 1 2003,6.906245
1570,Annual growth %,Jan 1 2004,12.58498
1571,Annual growth %,Jan 1 2005,16.056381
1572,Annual growth %,Jan 1 2006,13.843123
1573,Annual growth %,Jan 1 2007,17.00475
1574,Annual growth %,Jan 1 2008,18.064877
1575,Annual growth %,Jan 1 2009,-1.013294
1576,Annual growth %,Jan 1 2010,6.428837
1577,Annual growth %,Jan 1 2011,12.319894
1578,Annual growth %,Jan 1 2012,7.775942
1579,Annual growth %,Jan 1 2013,6.86197
1580,Annual growth %,Jan 1 2014,7.613821
1581,Annual growth %,Jan 1 2015,6.347398
1582,Annual growth %,Jan 1 2016,9.174179
1583,Annual growth %,Jan 1 2017,9.110687
1584,Annual growth %,Jan 1 2018,9.158339
1585,Annual growth %,Jan 1 2019,8.697296
