,symbol,date,price
1635,Annual growth %,Jan 1 1971,11.132278
1636,Annual growth %,Jan 1 1972,12.090334
1637,Annual growth %,Jan 1 1973,14.159747
1638,Annual growth %,Jan 1 1974,19.869561
1639,Annual growth %,Jan 1 1975,6.673176
1640,Annual growth %,Jan 1 1976,17.849059
1641,Annual growth %,Jan 1 1977,1.215934
1642,Annual growth %,Jan 1 1978,2.097374
1643,Annual growth %,Jan 1 1979,9.908466
1644,Annual growth %,Jan 1 1980,11.265483
1645,Annual growth %,Jan 1 1981,10.171765
1646,Annual growth %,Jan 1 1982,1.385993
1647,Annual growth %,Jan 1 1983,7.551678
1648,Annual growth %,Jan 1 1984,3.227121
1649,Annual growth %,Jan 1 1985,1.456797
1650,Annual growth %,Jan 1 1986,2.187335
1651,Annual growth %,Jan 1 1987,12.736906
1652,Annual growth %,Jan 1 1988,15.96432
1653,Annual growth %,Jan 1 1989,9.825208
1654,Annual growth %,Jan 1 1990,3.709596
1655,Annual growth %,Jan 1 1991,1.476045
1656,Annual growth %,Jan 1 1992,-4.115969
1657,Annual growth %,Jan 1 1993,-3.679989
1658,Annual growth %,Jan 1 1994,-0.936308
1659,Annual growth %,Jan 1 1995,3.39885
1660,Annual growth %,Jan 1 1996,3.035417
1661,Annual growth %,Jan 1 1997,2.872087
1662,Annual growth %,Jan 1 1998,-4.104772
1663,Annual growth %,Jan 1 1999,6.009913
1664,Annual growth %,Jan 1 2000,8.757155
1665,Annual growth %,Jan 1 2001,-1.711756
1666,Annual growth %,Jan 1 2002,1.943751
1667,Annual growth %,Jan 1 2003,16.580585
1668,Annual growth %,Jan 1 2004,13.459369
1669,Annual growth %,Jan 1 2005,13.027907
1670,Annual growth %,Jan 1 2006,11.171908
1671,Annual growth %,Jan 1 2007,9.999249
1672,Annual growth %,Jan 1 2008,4.436094
1673,Annual growth %,Jan 1 2009,-12.553417
1674,Annual growth %,Jan 1 2010,16.268308
1675,Annual growth %,Jan 1 2011,9.598872
1676,Annual growth %,Jan 1 2012,0.88149
1677,Annual growth %,Jan 1 2013,-0.058933
1678,Annual growth %,Jan 1 2014,-3.371169
1679,Annual growth %,Jan 1 2015,-14.585594
1680,Annual growth %,Jan 1 2016,-2.753554
1681,Annual growth %,Jan 1 2017,6.909561
1682,Annual growth %,Jan 1 2018,3.42409
1683,Annual growth %,Jan 1 2019,0.228098
