,symbol,date,price
1733,Annual growth %,Jan 1 1971,4.827538
1734,Annual growth %,Jan 1 1972,12.660726
1735,Annual growth %,Jan 1 1973,16.060809
1736,Annual growth %,Jan 1 1974,2.174468
1737,Annual growth %,Jan 1 1975,32.228756
1738,Annual growth %,Jan 1 1976,16.838737
1739,Annual growth %,Jan 1 1977,10.079927
1740,Annual growth %,Jan 1 1978,17.606372
1741,Annual growth %,Jan 1 1979,11.923069
1742,Annual growth %,Jan 1 1980,10.710353
1743,Annual growth %,Jan 1 1981,-13.229371
1744,Annual growth %,Jan 1 1982,-8.825172
1745,Annual growth %,Jan 1 1983,-14.6498
1746,Annual growth %,Jan 1 1984,-6.927276
1747,Annual growth %,Jan 1 1985,7.097173
1748,Annual growth %,Jan 1 1986,26.987198
1749,Annual growth %,Jan 1 1987,5.030682
1750,Annual growth %,Jan 1 1988,3.47854
1751,Annual growth %,Jan 1 1989,-4.287326
1752,Annual growth %,Jan 1 1990,14.220378
1753,Annual growth %,Jan 1 1991,-6.780054
1754,Annual growth %,Jan 1 1992,-0.288526
1755,Annual growth %,Jan 1 1993,-12.013633
1756,Annual growth %,Jan 1 1994,-35.325394
1757,Annual growth %,Jan 1 1995,27.477566
1758,Annual growth %,Jan 1 1996,-11.983971
1759,Annual growth %,Jan 1 1997,-9.260363
1760,Annual growth %,Jan 1 1998,0.691
1761,Annual growth %,Jan 1 1999,0.926037
1762,Annual growth %,Jan 1 2000,-10.573509
1763,Annual growth %,Jan 1 2001,-0.338317
1764,Annual growth %,Jan 1 2002,4.149481
1765,Annual growth %,Jan 1 2003,12.623924
1766,Annual growth %,Jan 1 2004,9.219996
1767,Annual growth %,Jan 1 2005,4.249384
1768,Annual growth %,Jan 1 2006,6.720352
1769,Annual growth %,Jan 1 2007,11.967943
1770,Annual growth %,Jan 1 2008,13.810982
1771,Annual growth %,Jan 1 2009,-0.224467
1772,Annual growth %,Jan 1 2010,2.789043
1773,Annual growth %,Jan 1 2011,12.928236
1774,Annual growth %,Jan 1 2012,2.686796
1775,Annual growth %,Jan 1 2013,-32.808764
1776,Annual growth %,Jan 1 2014,11.492631
1777,Annual growth %,Jan 1 2015,-11.028125
1778,Annual growth %,Jan 1 2016,6.643204
1779,Annual growth %,Jan 1 2017,12.110939
1780,Annual growth %,Jan 1 2018,5.556378
1781,Annual growth %,Jan 1 2019,-1.69075
