,symbol,date,rate
1782,Annual growth %,Jan 1 1971,6.723611
1783,Annual growth %,Jan 1 1972,1.500598
1784,Annual growth %,Jan 1 1973,8.269944
1785,Annual growth %,Jan 1 1974,13.824195
1786,Annual growth %,Jan 1 1975,41.340281
1787,Annual growth %,Jan 1 1976,-8.011869
1788,Annual growth %,Jan 1 1977,-0.795081
1789,Annual growth %,Jan 1 1978,16.837258
1790,Annual growth %,Jan 1 1979,-11.581487
1791,Annual growth %,Jan 1 1980,0.767321
1792,Annual growth %,Jan 1 1981,14.980167
1793,Annual growth %,Jan 1 1982,-8.584058
1794,Annual growth %,Jan 1 1983,4.508463
1795,Annual growth %,Jan 1 1984,5.0292
1796,Annual growth %,Jan 1 1985,-3.955556
1797,Annual growth %,Jan 1 1986,19.534505
1798,Annual growth %,Jan 1 1987,10.059935
1799,Annual growth %,Jan 1 1988,13.134777
1800,Annual growth %,Jan 1 1989,-8.507779
1801,Annual growth %,Jan 1 1990,16.585572
1802,Annual growth %,Jan 1 1991,-3.868895
1803,Annual growth %,Jan 1 1992,0.907115
1804,Annual growth %,Jan 1 1993,-15.516965
1805,Annual growth %,Jan 1 1994,-21.472178
1806,Annual growth %,Jan 1 1995,18.458318
1807,Annual growth %,Jan 1 1996,8.092366
1808,Annual growth %,Jan 1 1997,-7.702626
1809,Annual growth %,Jan 1 1998,10.025582
1810,Annual growth %,Jan 1 1999,-16.087606
1811,Annual growth %,Jan 1 2000,-12.657939
1812,Annual growth %,Jan 1 2001,18.829617
1813,Annual growth %,Jan 1 2002,11.838891
1814,Annual growth %,Jan 1 2003,31.818206
1815,Annual growth %,Jan 1 2004,56.14109
1816,Annual growth %,Jan 1 2005,28.267979
1817,Annual growth %,Jan 1 2006,7.717679
1818,Annual growth %,Jan 1 2007,8.91076
1819,Annual growth %,Jan 1 2008,19.428626
1820,Annual growth %,Jan 1 2009,-12.059267
1821,Annual growth %,Jan 1 2010,12.587454
1822,Annual growth %,Jan 1 2011,14.188992
1823,Annual growth %,Jan 1 2012,4.50683
1824,Annual growth %,Jan 1 2013,-4.651751
1825,Annual growth %,Jan 1 2014,1.605626
1826,Annual growth %,Jan 1 2015,-21.929093
1827,Annual growth %,Jan 1 2016,-13.854457
1828,Annual growth %,Jan 1 2017,-3.015992
1829,Annual growth %,Jan 1 2018,6.150327
1830,Annual growth %,Jan 1 2019,-3.79812
