,symbol,date,rate
2027,Annual growth %,Jan 1 1971,5.086334
2028,Annual growth %,Jan 1 1972,11.20097
2029,Annual growth %,Jan 1 1973,19.121308
2030,Annual growth %,Jan 1 1974,1.896042
2031,Annual growth %,Jan 1 1975,11.175305
2032,Annual growth %,Jan 1 1976,-7.450512
2033,Annual growth %,Jan 1 1977,11.834717
2034,Annual growth %,Jan 1 1978,23.065066
2035,Annual growth %,Jan 1 1979,18.979975
2036,Annual growth %,Jan 1 1980,14.484778
2037,Annual growth %,Jan 1 1981,-6.72064
2038,Annual growth %,Jan 1 1982,-3.277487
2039,Annual growth %,Jan 1 1983,5.844004
2040,Annual growth %,Jan 1 1984,1.412485
2041,Annual growth %,Jan 1 1985,-2.8374
2042,Annual growth %,Jan 1 1986,-4.729319
2043,Annual growth %,Jan 1 1987,6.786677
2044,Annual growth %,Jan 1 1988,22.3187
2045,Annual growth %,Jan 1 1989,9.884731
2046,Annual growth %,Jan 1 1990,-14.888101
2047,Annual growth %,Jan 1 1991,3.360819
2048,Annual growth %,Jan 1 1992,17.929542
2049,Annual growth %,Jan 1 1993,24.299412
2050,Annual growth %,Jan 1 1994,-9.680461
2051,Annual growth %,Jan 1 1995,29.010125
2052,Annual growth %,Jan 1 1996,16.592466
2053,Annual growth %,Jan 1 1997,10.414908
2054,Annual growth %,Jan 1 1998,6.175113
2055,Annual growth %,Jan 1 1999,5.520166
2056,Annual growth %,Jan 1 2000,9.949296
2057,Annual growth %,Jan 1 2001,9.842436
2058,Annual growth %,Jan 1 2002,9.101663
2059,Annual growth %,Jan 1 2003,12.218919
2060,Annual growth %,Jan 1 2004,17.079503
2061,Annual growth %,Jan 1 2005,16.232478
2062,Annual growth %,Jan 1 2006,19.705659
2063,Annual growth %,Jan 1 2007,28.276425
2064,Annual growth %,Jan 1 2008,28.68175
2065,Annual growth %,Jan 1 2009,10.423031
2066,Annual growth %,Jan 1 2010,18.651093
2067,Annual growth %,Jan 1 2011,23.36351
2068,Annual growth %,Jan 1 2012,12.356732
2069,Annual growth %,Jan 1 2013,11.550355
2070,Annual growth %,Jan 1 2014,8.865652
2071,Annual growth %,Jan 1 2015,5.038481
2072,Annual growth %,Jan 1 2016,1.03541
2073,Annual growth %,Jan 1 2017,9.051404
2074,Annual growth %,Jan 1 2018,12.346605
2075,Annual growth %,Jan 1 2019,2.782646
