,symbol,date,rate
2223,Annual growth %,Jan 1 1971,0.355681
2224,Annual growth %,Jan 1 1972,3.891318
2225,Annual growth %,Jan 1 1973,31.070646
2226,Annual growth %,Jan 1 1974,19.580789
2227,Annual growth %,Jan 1 1975,0.244229
2228,Annual growth %,Jan 1 1976,-2.91898
2229,Annual growth %,Jan 1 1977,20.067327
2230,Annual growth %,Jan 1 1978,20.232978
2231,Annual growth %,Jan 1 1979,17.399352
2232,Annual growth %,Jan 1 1980,12.659777
2233,Annual growth %,Jan 1 1981,4.219387
2234,Annual growth %,Jan 1 1982,0.266547
2235,Annual growth %,Jan 1 1983,-1.638658
2236,Annual growth %,Jan 1 1984,3.149916
2237,Annual growth %,Jan 1 1985,3.744891
2238,Annual growth %,Jan 1 1986,28.152632
2239,Annual growth %,Jan 1 1987,26.514138
2240,Annual growth %,Jan 1 1988,26.609698
2241,Annual growth %,Jan 1 1989,0.358455
2242,Annual growth %,Jan 1 1990,10.761701
2243,Annual growth %,Jan 1 1991,7.672916
2244,Annual growth %,Jan 1 1992,1.905776
2245,Annual growth %,Jan 1 1993,10.371864
2246,Annual growth %,Jan 1 1994,17.773315
2247,Annual growth %,Jan 1 1995,6.33945
2248,Annual growth %,Jan 1 1996,1.641618
2249,Annual growth %,Jan 1 1997,-6.645296
2250,Annual growth %,Jan 1 1998,-11.149509
2251,Annual growth %,Jan 1 1999,8.688815
2252,Annual growth %,Jan 1 2000,0.556249
2253,Annual growth %,Jan 1 2001,4.471008
2254,Annual growth %,Jan 1 2002,13.946607
2255,Annual growth %,Jan 1 2003,34.952478
2256,Annual growth %,Jan 1 2004,14.995792
2257,Annual growth %,Jan 1 2005,1.375056
2258,Annual growth %,Jan 1 2006,2.803616
2259,Annual growth %,Jan 1 2007,11.10951
2260,Annual growth %,Jan 1 2008,0.434867
2261,Annual growth %,Jan 1 2009,-3.274372
2262,Annual growth %,Jan 1 2010,12.980781
2263,Annual growth %,Jan 1 2011,14.166762
2264,Annual growth %,Jan 1 2012,11.202993
2265,Annual growth %,Jan 1 2013,-2.435967
2266,Annual growth %,Jan 1 2014,11.347232
2267,Annual growth %,Jan 1 2015,-4.844554
2268,Annual growth %,Jan 1 2016,2.90605
2269,Annual growth %,Jan 1 2017,11.645994
2270,Annual growth %,Jan 1 2018,4.883304
2271,Annual growth %,Jan 1 2019,4.338295
