,symbol,date,price
2370,Annual growth %,Jan 1 1991,-18.139498
2371,Annual growth %,Jan 1 1992,-9.183404
2372,Annual growth %,Jan 1 1993,6.806555
2373,Annual growth %,Jan 1 1994,34.920374
2374,Annual growth %,Jan 1 1995,30.162419
2375,Annual growth %,Jan 1 1996,6.7351
2376,Annual growth %,Jan 1 1997,1.552195
2377,Annual growth %,Jan 1 1998,7.720927
2378,Annual growth %,Jan 1 1999,-7.384083
2379,Annual growth %,Jan 1 2000,-6.804609
2380,Annual growth %,Jan 1 2001,7.455741
2381,Annual growth %,Jan 1 2002,16.009652
2382,Annual growth %,Jan 1 2003,29.555346
2383,Annual growth %,Jan 1 2004,20.050891
2384,Annual growth %,Jan 1 2005,9.262604
2385,Annual growth %,Jan 1 2006,11.314458
2386,Annual growth %,Jan 1 2007,19.526789
2387,Annual growth %,Jan 1 2008,17.028913
2388,Annual growth %,Jan 1 2009,-10.669941
2389,Annual growth %,Jan 1 2010,-4.169922
2390,Annual growth %,Jan 1 2011,4.622394
2391,Annual growth %,Jan 1 2012,-9.034781
2392,Annual growth %,Jan 1 2013,3.229279
2393,Annual growth %,Jan 1 2014,-0.220995
2394,Annual growth %,Jan 1 2015,-13.614262
2395,Annual growth %,Jan 1 2016,4.772693
2396,Annual growth %,Jan 1 2017,7.874202
2397,Annual growth %,Jan 1 2018,10.954527
2398,Annual growth %,Jan 1 2019,-0.318443
