,symbol,date,rate
2448,Annual growth %,Jan 1 2006,2.702013
2449,Annual growth %,Jan 1 2007,2.618719
2450,Annual growth %,Jan 1 2008,5.825544
2451,Annual growth %,Jan 1 2009,-1.781427
2452,Annual growth %,Jan 1 2010,0.22734
2453,Annual growth %,Jan 1 2011,0.848855
2454,Annual growth %,Jan 1 2012,1.375405
2455,Annual growth %,Jan 1 2013,-0.739916
2456,Annual growth %,Jan 1 2014,-0.688363
2457,Annual growth %,Jan 1 2015,-1.095295
2458,Annual growth %,Jan 1 2016,-1.68101
2459,Annual growth %,Jan 1 2017,-0.763527
2460,Annual growth %,Jan 1 2018,-0.10368
2461,Annual growth %,Jan 1 2019,-1.24284
