,symbol,date,rate
2462,Annual growth %,Jan 1 1971,15.704152
2463,Annual growth %,Jan 1 1972,20.275016
2464,Annual growth %,Jan 1 1973,20.346016
2465,Annual growth %,Jan 1 1974,8.106869
2466,Annual growth %,Jan 1 1975,-13.551562
2467,Annual growth %,Jan 1 1976,16.603849
2468,Annual growth %,Jan 1 1977,27.55418
2469,Annual growth %,Jan 1 1978,30.279815
2470,Annual growth %,Jan 1 1979,30.069971
2471,Annual growth %,Jan 1 1980,19.925876
2472,Annual growth %,Jan 1 1981,-4.688965
2473,Annual growth %,Jan 1 1982,2.563676
2474,Annual growth %,Jan 1 1983,-1.176013
2475,Annual growth %,Jan 1 1984,3.891759
2476,Annual growth %,Jan 1 1985,5.115798
2477,Annual growth %,Jan 1 1986,26.291261
2478,Annual growth %,Jan 1 1987,18.52672
2479,Annual growth %,Jan 1 1988,14.154988
2480,Annual growth %,Jan 1 1989,5.287205
2481,Annual growth %,Jan 1 1990,19.813393
2482,Annual growth %,Jan 1 1991,0.535594
2483,Annual growth %,Jan 1 1992,16.758199
2484,Annual growth %,Jan 1 1993,-6.928415
2485,Annual growth %,Jan 1 1994,10.274192
2486,Annual growth %,Jan 1 1995,17.304288
2487,Annual growth %,Jan 1 1996,-0.729155
2488,Annual growth %,Jan 1 1997,-6.129867
2489,Annual growth %,Jan 1 1998,6.032214
2490,Annual growth %,Jan 1 1999,1.325706
2491,Annual growth %,Jan 1 2000,-6.013172
2492,Annual growth %,Jan 1 2001,3.144286
2493,Annual growth %,Jan 1 2002,8.276094
2494,Annual growth %,Jan 1 2003,26.171887
2495,Annual growth %,Jan 1 2004,17.455102
2496,Annual growth %,Jan 1 2005,6.470536
2497,Annual growth %,Jan 1 2006,7.351849
2498,Annual growth %,Jan 1 2007,15.386644
2499,Annual growth %,Jan 1 2008,12.903042
2500,Annual growth %,Jan 1 2009,-9.298074
2501,Annual growth %,Jan 1 2010,-3.470391
2502,Annual growth %,Jan 1 2011,4.388854
2503,Annual growth %,Jan 1 2012,-10.635334
2504,Annual growth %,Jan 1 2013,-4.12431
2505,Annual growth %,Jan 1 2014,-2.263761
2506,Annual growth %,Jan 1 2015,-13.911995
2507,Annual growth %,Jan 1 2016,5.105717
2508,Annual growth %,Jan 1 2017,8.034856
2509,Annual growth %,Jan 1 2018,9.378153
2510,Annual growth %,Jan 1 2019,-2.356666
