,symbol,date,price
2540,Annual growth %,Jan 1 1971,4.087257
2541,Annual growth %,Jan 1 1972,13.941978
2542,Annual growth %,Jan 1 1973,17.363614
2543,Annual growth %,Jan 1 1974,6.501799
2544,Annual growth %,Jan 1 1975,9.465558
2545,Annual growth %,Jan 1 1976,-2.163484
2546,Annual growth %,Jan 1 1977,42.243107
2547,Annual growth %,Jan 1 1978,9.333431
2548,Annual growth %,Jan 1 1979,6.76085
2549,Annual growth %,Jan 1 1980,4.160428
2550,Annual growth %,Jan 1 1981,5.787853
2551,Annual growth %,Jan 1 1982,0.546835
2552,Annual growth %,Jan 1 1983,-0.855081
2553,Annual growth %,Jan 1 1984,-9.729324
2554,Annual growth %,Jan 1 1985,-0.103268
2555,Annual growth %,Jan 1 1986,17.184127
2556,Annual growth %,Jan 1 1987,12.072285
2557,Annual growth %,Jan 1 1988,-1.353628
2558,Annual growth %,Jan 1 1989,-2.126969
