,symbol,date,rate
2657,Annual growth %,Jan 1 1971,11.084427
2658,Annual growth %,Jan 1 1972,21.025594
2659,Annual growth %,Jan 1 1973,31.570724
2660,Annual growth %,Jan 1 1974,10.627646
2661,Annual growth %,Jan 1 1975,17.985825
2662,Annual growth %,Jan 1 1976,9.730227
2663,Annual growth %,Jan 1 1977,11.339324
2664,Annual growth %,Jan 1 1978,20.94805
2665,Annual growth %,Jan 1 1979,16.368252
2666,Annual growth %,Jan 1 1980,0.97705
2667,Annual growth %,Jan 1 1981,-13.026486
2668,Annual growth %,Jan 1 1982,-2.331228
2669,Annual growth %,Jan 1 1983,0.457969
2670,Annual growth %,Jan 1 1984,-2.471159
2671,Annual growth %,Jan 1 1985,6.049504
2672,Annual growth %,Jan 1 1986,40.558039
2673,Annual growth %,Jan 1 1987,24.159324
2674,Annual growth %,Jan 1 1988,5.503718
2675,Annual growth %,Jan 1 1989,-2.86998
2676,Annual growth %,Jan 1 1990,22.728827
2677,Annual growth %,Jan 1 1991,0.437562
2678,Annual growth %,Jan 1 1992,9.476785
2679,Annual growth %,Jan 1 1993,-6.700935
2680,Annual growth %,Jan 1 1994,8.625801
2681,Annual growth %,Jan 1 1995,17.98692
2682,Annual growth %,Jan 1 1996,0.991383
2683,Annual growth %,Jan 1 1997,-7.912257
2684,Annual growth %,Jan 1 1998,1.553372
2685,Annual growth %,Jan 1 1999,0.145455
2686,Annual growth %,Jan 1 2000,-8.093291
2687,Annual growth %,Jan 1 2001,0.069676
2688,Annual growth %,Jan 1 2002,8.103429
2689,Annual growth %,Jan 1 2003,21.769815
2690,Annual growth %,Jan 1 2004,14.92143
2691,Annual growth %,Jan 1 2005,4.840613
2692,Annual growth %,Jan 1 2006,6.520896
2693,Annual growth %,Jan 1 2007,12.386755
2694,Annual growth %,Jan 1 2008,10.064474
2695,Annual growth %,Jan 1 2009,-9.560094
2696,Annual growth %,Jan 1 2010,-0.279396
2697,Annual growth %,Jan 1 2011,6.296471
2698,Annual growth %,Jan 1 2012,-5.37277
2699,Annual growth %,Jan 1 2013,4.516408
2700,Annual growth %,Jan 1 2014,2.266036
2701,Annual growth %,Jan 1 2015,-14.624652
2702,Annual growth %,Jan 1 2016,3.039877
2703,Annual growth %,Jan 1 2017,5.682496
2704,Annual growth %,Jan 1 2018,7.08379
2705,Annual growth %,Jan 1 2019,-2.234129
