,symbol,date,rate
2902,Annual growth %,Jan 1 1971,3.57858
2903,Annual growth %,Jan 1 1972,4.58493
2904,Annual growth %,Jan 1 1973,1.691999
2905,Annual growth %,Jan 1 1974,15.647933
2906,Annual growth %,Jan 1 1975,9.415391
2907,Annual growth %,Jan 1 1976,15.498727
2908,Annual growth %,Jan 1 1977,24.915928
2909,Annual growth %,Jan 1 1978,19.644838
2910,Annual growth %,Jan 1 1979,-34.921388
2911,Annual growth %,Jan 1 1980,25.741114
2912,Annual growth %,Jan 1 1981,-34.616954
2913,Annual growth %,Jan 1 1982,13.778246
2914,Annual growth %,Jan 1 1983,17.136003
2915,Annual growth %,Jan 1 1984,11.223054
2916,Annual growth %,Jan 1 1985,7.24332
2917,Annual growth %,Jan 1 1986,1.284787
2918,Annual growth %,Jan 1 1987,7.57408
2919,Annual growth %,Jan 1 1988,6.141614
2920,Annual growth %,Jan 1 1989,7.175551
2921,Annual growth %,Jan 1 1990,7.144994
2922,Annual growth %,Jan 1 1991,6.457119
2923,Annual growth %,Jan 1 1992,14.335623
2924,Annual growth %,Jan 1 1993,8.309412
2925,Annual growth %,Jan 1 1994,9.450257
2926,Annual growth %,Jan 1 1995,14.017505
2927,Annual growth %,Jan 1 1996,10.233366
2928,Annual growth %,Jan 1 1997,8.096137
2929,Annual growth %,Jan 1 1998,4.723065
2930,Annual growth %,Jan 1 1999,3.407289
2931,Annual growth %,Jan 1 2000,2.119751
2932,Annual growth %,Jan 1 2001,-6.968594
2933,Annual growth %,Jan 1 2002,-6.409808
2934,Annual growth %,Jan 1 2003,-15.960583
2935,Annual growth %,Jan 1 2004,4.959718
2936,Annual growth %,Jan 1 2005,17.147447
2937,Annual growth %,Jan 1 2006,12.06163
2938,Annual growth %,Jan 1 2007,20.53884
2939,Annual growth %,Jan 1 2008,22.526716
2940,Annual growth %,Jan 1 2009,11.914611
2941,Annual growth %,Jan 1 2010,11.947439
2942,Annual growth %,Jan 1 2011,5.421522
2943,Annual growth %,Jan 1 2012,17.039673
2944,Annual growth %,Jan 1 2013,-4.27644
2945,Annual growth %,Jan 1 2014,8.657763
2946,Annual growth %,Jan 1 2015,3.276146
2947,Annual growth %,Jan 1 2016,-16.751454
2948,Annual growth %,Jan 1 2017,-29.28947
2949,Annual growth %,Jan 1 2018,25.4126
2950,Annual growth %,Jan 1 2019,24.583625
