,symbol,date,price
3049,Annual growth %,Jan 1 1991,15.13008
3050,Annual growth %,Jan 1 1992,14.278865
3051,Annual growth %,Jan 1 1993,16.535801
3052,Annual growth %,Jan 1 1994,26.023607
3053,Annual growth %,Jan 1 1995,2.073711
3054,Annual growth %,Jan 1 1996,17.409907
3055,Annual growth %,Jan 1 1997,4.551797
3056,Annual growth %,Jan 1 1998,2.955709
3057,Annual growth %,Jan 1 1999,-3.286207
3058,Annual growth %,Jan 1 2000,-13.138545
3059,Annual growth %,Jan 1 2001,2.820651
3060,Annual growth %,Jan 1 2002,-7.218255
3061,Annual growth %,Jan 1 2003,13.821718
3062,Annual growth %,Jan 1 2004,21.873114
3063,Annual growth %,Jan 1 2005,-4.702473
3064,Annual growth %,Jan 1 2006,-17.344001
3065,Annual growth %,Jan 1 2007,5.974435
3066,Annual growth %,Jan 1 2008,-11.494746
3067,Annual growth %,Jan 1 2009,37.957953
3068,Annual growth %,Jan 1 2010,20.630671
3069,Annual growth %,Jan 1 2011,28.154072
3070,Annual growth %,Jan 1 2012,7.980391
3071,Annual growth %,Jan 1 2013,-13.997118
3072,Annual growth %,Jan 1 2014,31.803138
3073,Annual growth %,Jan 1 2015,-23.420676
3074,Annual growth %,Jan 1 2016,6.894322
3075,Annual growth %,Jan 1 2017,-13.342016
3076,Annual growth %,Jan 1 2018,4.12394
3077,Annual growth %,Jan 1 2019,-2.43931
