,symbol,date,price
3078,Annual growth %,Jan 1 1991,-3.842607
3079,Annual growth %,Jan 1 1992,-17.919198
3080,Annual growth %,Jan 1 1993,-1.383431
3081,Annual growth %,Jan 1 1994,2.228522
3082,Annual growth %,Jan 1 1995,8.561559
3083,Annual growth %,Jan 1 1996,8.009668
3084,Annual growth %,Jan 1 1997,8.370117
3085,Annual growth %,Jan 1 1998,10.249673
3086,Annual growth %,Jan 1 1999,2.077078
3087,Annual growth %,Jan 1 2000,-0.895231
3088,Annual growth %,Jan 1 2001,10.431567
3089,Annual growth %,Jan 1 2002,18.547719
3090,Annual growth %,Jan 1 2003,34.939325
3091,Annual growth %,Jan 1 2004,23.788492
3092,Annual growth %,Jan 1 2005,16.745709
3093,Annual growth %,Jan 1 2006,21.316296
3094,Annual growth %,Jan 1 2007,32.338003
3095,Annual growth %,Jan 1 2008,8.81754
3096,Annual growth %,Jan 1 2009,-18.616223
3097,Annual growth %,Jan 1 2010,0.001927
3098,Annual growth %,Jan 1 2011,19.170178
3099,Annual growth %,Jan 1 2012,-0.509019
3100,Annual growth %,Jan 1 2013,9.301158
3101,Annual growth %,Jan 1 2014,6.167898
3102,Annual growth %,Jan 1 2015,-13.849257
3103,Annual growth %,Jan 1 2016,5.157965
3104,Annual growth %,Jan 1 2017,10.854549
3105,Annual growth %,Jan 1 2018,13.348939
3106,Annual growth %,Jan 1 2019,2.530742
