,symbol,date,rate
3156,Annual growth %,Jan 1 1991,10.123038
3157,Annual growth %,Jan 1 1992,-22.815159
3158,Annual growth %,Jan 1 1993,-30.365682
3159,Annual growth %,Jan 1 1994,-6.494239
3160,Annual growth %,Jan 1 1995,2.672605
3161,Annual growth %,Jan 1 1996,5.167893
3162,Annual growth %,Jan 1 1997,0.379416
3163,Annual growth %,Jan 1 1998,-11.95451
3164,Annual growth %,Jan 1 1999,-7.858247
3165,Annual growth %,Jan 1 2000,6.461696
3166,Annual growth %,Jan 1 2001,-3.645735
3167,Annual growth %,Jan 1 2002,-6.15088
3168,Annual growth %,Jan 1 2003,6.832326
3169,Annual growth %,Jan 1 2004,14.2486
3170,Annual growth %,Jan 1 2005,19.045504
3171,Annual growth %,Jan 1 2006,19.818561
3172,Annual growth %,Jan 1 2007,23.320926
3173,Annual growth %,Jan 1 2008,31.193387
3174,Annual growth %,Jan 1 2009,7.10284
3175,Annual growth %,Jan 1 2010,-9.240369
3176,Annual growth %,Jan 1 2011,12.628834
3177,Annual growth %,Jan 1 2012,34.624716
3178,Annual growth %,Jan 1 2013,7.188185
3179,Annual growth %,Jan 1 2014,13.161274
3180,Annual growth %,Jan 1 2015,13.294797
3181,Annual growth %,Jan 1 2016,11.336859
3182,Annual growth %,Jan 1 2017,3.62887
3183,Annual growth %,Jan 1 2018,1.747037
3184,Annual growth %,Jan 1 2019,12.688761
