,symbol,date,price
3400,Annual growth %,Jan 1 1971,15.658969
3401,Annual growth %,Jan 1 1972,10.745871
3402,Annual growth %,Jan 1 1973,64.896047
3403,Annual growth %,Jan 1 1974,109.717069
3404,Annual growth %,Jan 1 1975,36.978366
3405,Annual growth %,Jan 1 1976,36.542208
3406,Annual growth %,Jan 1 1977,-8.701015
3407,Annual growth %,Jan 1 1978,-16.885516
3408,Annual growth %,Jan 1 1979,23.82507
3409,Annual growth %,Jan 1 1980,37.865642
3410,Annual growth %,Jan 1 1981,-11.999208
3411,Annual growth %,Jan 1 1982,-8.691534
3412,Annual growth %,Jan 1 1983,-8.652195
3413,Annual growth %,Jan 1 1984,2.234917
3414,Annual growth %,Jan 1 1985,0.138461
3415,Annual growth %,Jan 1 1986,-7.878372
3416,Annual growth %,Jan 1 1987,-4.756118
3417,Annual growth %,Jan 1 1988,-2.533451
3418,Annual growth %,Jan 1 1989,4.655194
3419,Annual growth %,Jan 1 1990,26.713987
3420,Annual growth %,Jan 1 1991,-3.114708
3421,Annual growth %,Jan 1 1992,0.743181
3422,Annual growth %,Jan 1 1993,-5.887277
3423,Annual growth %,Jan 1 1994,-24.493004
3424,Annual growth %,Jan 1 1995,15.304509
3425,Annual growth %,Jan 1 1996,11.93617
3426,Annual growth %,Jan 1 1997,-8.423594
3427,Annual growth %,Jan 1 1998,-17.812937
3428,Annual growth %,Jan 1 1999,0.459559
3429,Annual growth %,Jan 1 2000,7.34002
3430,Annual growth %,Jan 1 2001,-10.873522
3431,Annual growth %,Jan 1 2002,1.82507
3432,Annual growth %,Jan 1 2003,18.448048
3433,Annual growth %,Jan 1 2004,16.634272
3434,Annual growth %,Jan 1 2005,18.888658
3435,Annual growth %,Jan 1 2006,4.736616
3436,Annual growth %,Jan 1 2007,17.078019
3437,Annual growth %,Jan 1 2008,20.903576
3438,Annual growth %,Jan 1 2009,-24.70188
3439,Annual growth %,Jan 1 2010,14.963437
3440,Annual growth %,Jan 1 2011,22.110802
3441,Annual growth %,Jan 1 2012,-9.091472
3442,Annual growth %,Jan 1 2013,-1.357871
3443,Annual growth %,Jan 1 2014,-0.312559
3444,Annual growth %,Jan 1 2015,-23.536201
3445,Annual growth %,Jan 1 2016,-5.349407
3446,Annual growth %,Jan 1 2017,3.521679
3447,Annual growth %,Jan 1 2018,10.904352
3448,Annual growth %,Jan 1 2019,-3.063015
