,symbol,date,rate
3498,Annual growth %,Jan 1 1991,-18.106756
3499,Annual growth %,Jan 1 1992,-42.498821
3500,Annual growth %,Jan 1 1993,-26.295622
3501,Annual growth %,Jan 1 1994,-6.459246
3502,Annual growth %,Jan 1 1995,7.272177
3503,Annual growth %,Jan 1 1996,16.354675
3504,Annual growth %,Jan 1 1997,17.92995
3505,Annual growth %,Jan 1 1998,5.952032
3506,Annual growth %,Jan 1 1999,-20.447301
3507,Annual growth %,Jan 1 2000,11.57707
3508,Annual growth %,Jan 1 2001,6.878714
3509,Annual growth %,Jan 1 2002,6.427879
3510,Annual growth %,Jan 1 2003,18.083952
3511,Annual growth %,Jan 1 2004,28.819521
3512,Annual growth %,Jan 1 2005,25.53764
3513,Annual growth %,Jan 1 2006,21.402838
3514,Annual growth %,Jan 1 2007,32.064226
3515,Annual growth %,Jan 1 2008,26.511339
3516,Annual growth %,Jan 1 2009,-15.378439
3517,Annual growth %,Jan 1 2010,8.630889
3518,Annual growth %,Jan 1 2011,23.941714
3519,Annual growth %,Jan 1 2012,9.597555
3520,Annual growth %,Jan 1 2013,4.649256
3521,Annual growth %,Jan 1 2014,2.884485
3522,Annual growth %,Jan 1 2015,-14.933329
3523,Annual growth %,Jan 1 2016,1.476921
3524,Annual growth %,Jan 1 2017,7.451992
3525,Annual growth %,Jan 1 2018,8.510398
3526,Annual growth %,Jan 1 2019,0.970216
