,symbol,date,price
3625,Annual growth %,Jan 1 1971,10.370484
3626,Annual growth %,Jan 1 1972,14.958174
3627,Annual growth %,Jan 1 1973,31.364803
3628,Annual growth %,Jan 1 1974,12.435185
3629,Annual growth %,Jan 1 1975,11.437552
3630,Annual growth %,Jan 1 1976,7.844774
3631,Annual growth %,Jan 1 1977,14.475531
3632,Annual growth %,Jan 1 1978,20.600095
3633,Annual growth %,Jan 1 1979,21.469152
3634,Annual growth %,Jan 1 1980,3.127944
3635,Annual growth %,Jan 1 1981,-8.79668
3636,Annual growth %,Jan 1 1982,3.498932
3637,Annual growth %,Jan 1 1983,-10.080291
3638,Annual growth %,Jan 1 1984,-3.377487
3639,Annual growth %,Jan 1 1985,-0.944321
3640,Annual growth %,Jan 1 1986,17.355875
3641,Annual growth %,Jan 1 1987,15.947019
3642,Annual growth %,Jan 1 1988,15.660019
3643,Annual growth %,Jan 1 1989,3.252059
3644,Annual growth %,Jan 1 1990,22.812284
3645,Annual growth %,Jan 1 1991,6.478886
3646,Annual growth %,Jan 1 1992,9.418703
3647,Annual growth %,Jan 1 1993,-7.382893
3648,Annual growth %,Jan 1 1994,6.044837
3649,Annual growth %,Jan 1 1995,16.292336
3650,Annual growth %,Jan 1 1996,5.702086
3651,Annual growth %,Jan 1 1997,-2.523782
3652,Annual growth %,Jan 1 1998,0.306814
3653,Annual growth %,Jan 1 1999,2.730061
3654,Annual growth %,Jan 1 2000,-12.121245
3655,Annual growth %,Jan 1 2001,2.908137
3656,Annual growth %,Jan 1 2002,12.474877
3657,Annual growth %,Jan 1 2003,30.824663
3658,Annual growth %,Jan 1 2004,18.953662
3659,Annual growth %,Jan 1 2005,3.105746
3660,Annual growth %,Jan 1 2006,10.692522
3661,Annual growth %,Jan 1 2007,17.210046
3662,Annual growth %,Jan 1 2008,12.108234
3663,Annual growth %,Jan 1 2009,-6.22149
3664,Annual growth %,Jan 1 2010,-9.452685
3665,Annual growth %,Jan 1 2011,-4.272214
3666,Annual growth %,Jan 1 2012,-13.974472
3667,Annual growth %,Jan 1 2013,-1.102003
3668,Annual growth %,Jan 1 2014,-0.977047
3669,Annual growth %,Jan 1 2015,-16.665552
3670,Annual growth %,Jan 1 2016,-0.909486
3671,Annual growth %,Jan 1 2017,4.28502
3672,Annual growth %,Jan 1 2018,6.534308
3673,Annual growth %,Jan 1 2019,-2.811079
