,symbol,date,price
3772,Annual growth %,Jan 1 1971,1.381959
3773,Annual growth %,Jan 1 1972,3.013991
3774,Annual growth %,Jan 1 1973,18.990838
3775,Annual growth %,Jan 1 1974,19.826433
3776,Annual growth %,Jan 1 1975,12.366992
3777,Annual growth %,Jan 1 1976,16.726084
3778,Annual growth %,Jan 1 1977,22.460879
3779,Annual growth %,Jan 1 1978,8.075501
3780,Annual growth %,Jan 1 1979,10.957661
3781,Annual growth %,Jan 1 1980,11.365753
3782,Annual growth %,Jan 1 1981,6.56517
3783,Annual growth %,Jan 1 1982,-1.218341
3784,Annual growth %,Jan 1 1983,1.266766
3785,Annual growth %,Jan 1 1984,2.102699
3786,Annual growth %,Jan 1 1985,15.228577
3787,Annual growth %,Jan 1 1986,-26.223207
3788,Annual growth %,Jan 1 1987,-18.077543
3789,Annual growth %,Jan 1 1988,8.15806
3790,Annual growth %,Jan 1 1989,4.773944
3791,Annual growth %,Jan 1 1990,-11.133916
3792,Annual growth %,Jan 1 1991,20.107596
3793,Annual growth %,Jan 1 1992,8.424116
3794,Annual growth %,Jan 1 1993,6.659285
3795,Annual growth %,Jan 1 1994,11.272008
3796,Annual growth %,Jan 1 1995,10.323386
3797,Annual growth %,Jan 1 1996,5.279204
3798,Annual growth %,Jan 1 1997,10.193005
3799,Annual growth %,Jan 1 1998,6.641076
3800,Annual growth %,Jan 1 1999,-7.657727
3801,Annual growth %,Jan 1 2000,2.920475
3802,Annual growth %,Jan 1 2001,6.264033
3803,Annual growth %,Jan 1 2002,8.504577
3804,Annual growth %,Jan 1 2003,3.030829
3805,Annual growth %,Jan 1 2004,6.809796
3806,Annual growth %,Jan 1 2005,10.951042
3807,Annual growth %,Jan 1 2006,8.601967
3808,Annual growth %,Jan 1 2007,10.342804
3809,Annual growth %,Jan 1 2008,12.217901
3810,Annual growth %,Jan 1 2009,-5.670225
3811,Annual growth %,Jan 1 2010,7.199649
3812,Annual growth %,Jan 1 2011,12.824831
3813,Annual growth %,Jan 1 2012,3.507237
3814,Annual growth %,Jan 1 2013,4.644477
3815,Annual growth %,Jan 1 2014,6.917677
3816,Annual growth %,Jan 1 2015,5.314125
3817,Annual growth %,Jan 1 2016,4.101097
3818,Annual growth %,Jan 1 2017,6.28802
3819,Annual growth %,Jan 1 2018,0.133147
3820,Annual growth %,Jan 1 2019,2.92165
