,symbol,date,rate
3870,Annual growth %,Jan 1 1971,-2.68302
3871,Annual growth %,Jan 1 1972,14.797491
3872,Annual growth %,Jan 1 1973,20.96649
3873,Annual growth %,Jan 1 1974,8.219711
3874,Annual growth %,Jan 1 1975,13.753958
3875,Annual growth %,Jan 1 1976,-10.499477
3876,Annual growth %,Jan 1 1977,-14.18174
3877,Annual growth %,Jan 1 1978,15.444104
3878,Annual growth %,Jan 1 1979,9.060613
3879,Annual growth %,Jan 1 1980,-6.413339
3880,Annual growth %,Jan 1 1981,7.282422
3881,Annual growth %,Jan 1 1982,-19.800013
3882,Annual growth %,Jan 1 1983,-2.010735
3883,Annual growth %,Jan 1 1984,6.600828
3884,Annual growth %,Jan 1 1985,-11.682027
3885,Annual growth %,Jan 1 1986,8.580915
3886,Annual growth %,Jan 1 1987,5.853983
3887,Annual growth %,Jan 1 1988,-7.452253
3888,Annual growth %,Jan 1 1989,17.668361
3889,Annual growth %,Jan 1 1990,4.806928
3890,Annual growth %,Jan 1 1991,4.107091
3891,Annual growth %,Jan 1 1992,3.08571
3892,Annual growth %,Jan 1 1993,2.384024
3893,Annual growth %,Jan 1 1994,2.900775
3894,Annual growth %,Jan 1 1995,4.001537
3895,Annual growth %,Jan 1 1996,-34.330862
3896,Annual growth %,Jan 1 1997,-24.501726
3897,Annual growth %,Jan 1 1998,-10.632396
3898,Annual growth %,Jan 1 1999,5.941683
3899,Annual growth %,Jan 1 2000,-12.437737
3900,Annual growth %,Jan 1 2001,2.598689
3901,Annual growth %,Jan 1 2002,5.066434
3902,Annual growth %,Jan 1 2003,14.065524
3903,Annual growth %,Jan 1 2004,8.924052
3904,Annual growth %,Jan 1 2005,7.902293
3905,Annual growth %,Jan 1 2006,-1.530987
3906,Annual growth %,Jan 1 2007,14.768382
3907,Annual growth %,Jan 1 2008,21.194927
3908,Annual growth %,Jan 1 2009,-6.761544
3909,Annual growth %,Jan 1 2010,0.082749
3910,Annual growth %,Jan 1 2011,26.022561
3911,Annual growth %,Jan 1 2012,-12.284898
3912,Annual growth %,Jan 1 2013,2.931845
3913,Annual growth %,Jan 1 2014,-1.891416
3914,Annual growth %,Jan 1 2015,-3.138709
3915,Annual growth %,Jan 1 2016,9.70425
3916,Annual growth %,Jan 1 2017,11.655252
3917,Annual growth %,Jan 1 2018,-0.131005
3918,Annual growth %,Jan 1 2019,-6.674659
