,symbol,date,rate
4360,Annual growth %,Jan 1 1971,14.569309
4361,Annual growth %,Jan 1 1972,22.156483
4362,Annual growth %,Jan 1 1973,16.550489
4363,Annual growth %,Jan 1 1974,3.803734
4364,Annual growth %,Jan 1 1975,18.118316
4365,Annual growth %,Jan 1 1976,-1.970888
4366,Annual growth %,Jan 1 1977,17.044418
4367,Annual growth %,Jan 1 1978,28.197885
4368,Annual growth %,Jan 1 1979,23.27104
4369,Annual growth %,Jan 1 1980,17.211245
4370,Annual growth %,Jan 1 1981,-5.986685
4371,Annual growth %,Jan 1 1982,2.933927
4372,Annual growth %,Jan 1 1983,-4.015548
4373,Annual growth %,Jan 1 1984,-3.700467
4374,Annual growth %,Jan 1 1985,5.412458
4375,Annual growth %,Jan 1 1986,34.792515
4376,Annual growth %,Jan 1 1987,18.143373
4377,Annual growth %,Jan 1 1988,11.47063
4378,Annual growth %,Jan 1 1989,3.969073
4379,Annual growth %,Jan 1 1990,25.606541
4380,Annual growth %,Jan 1 1991,0.779209
4381,Annual growth %,Jan 1 1992,11.933192
4382,Annual growth %,Jan 1 1993,-6.721572
4383,Annual growth %,Jan 1 1994,8.294015
4384,Annual growth %,Jan 1 1995,20.273139
4385,Annual growth %,Jan 1 1996,8.758786
4386,Annual growth %,Jan 1 1997,8.347013
4387,Annual growth %,Jan 1 1998,7.728058
4388,Annual growth %,Jan 1 1999,8.268237
4389,Annual growth %,Jan 1 2000,-0.222858
4390,Annual growth %,Jan 1 2001,7.638281
4391,Annual growth %,Jan 1 2002,15.221741
4392,Annual growth %,Jan 1 2003,26.045808
4393,Annual growth %,Jan 1 2004,15.800768
4394,Annual growth %,Jan 1 2005,6.968513
4395,Annual growth %,Jan 1 2006,7.261003
4396,Annual growth %,Jan 1 2007,13.780786
4397,Annual growth %,Jan 1 2008,-0.241936
4398,Annual growth %,Jan 1 2009,-15.680724
4399,Annual growth %,Jan 1 2010,-7.083248
4400,Annual growth %,Jan 1 2011,6.1554
4401,Annual growth %,Jan 1 2012,-5.67852
4402,Annual growth %,Jan 1 2013,5.83426
4403,Annual growth %,Jan 1 2014,8.296834
4404,Annual growth %,Jan 1 2015,11.976911
4405,Annual growth %,Jan 1 2016,1.807348
4406,Annual growth %,Jan 1 2017,11.910961
4407,Annual growth %,Jan 1 2018,12.250922
4408,Annual growth %,Jan 1 2019,1.871189
