,symbol,date,rate
4409,Annual growth %,Jan 1 1971,2.652558
4410,Annual growth %,Jan 1 1972,27.146828
4411,Annual growth %,Jan 1 1973,24.36768
4412,Annual growth %,Jan 1 1974,31.628109
4413,Annual growth %,Jan 1 1975,-3.837756
4414,Annual growth %,Jan 1 1976,2.562191
4415,Annual growth %,Jan 1 1977,5.864397
4416,Annual growth %,Jan 1 1978,-3.487293
4417,Annual growth %,Jan 1 1979,26.206932
4418,Annual growth %,Jan 1 1980,11.375339
4419,Annual growth %,Jan 1 1981,4.111514
4420,Annual growth %,Jan 1 1982,7.349309
4421,Annual growth %,Jan 1 1983,9.630723
4422,Annual growth %,Jan 1 1984,-7.733294
4423,Annual growth %,Jan 1 1985,-7.210706
4424,Annual growth %,Jan 1 1986,21.981034
4425,Annual growth %,Jan 1 1987,18.216013
4426,Annual growth %,Jan 1 1988,20.151206
4427,Annual growth %,Jan 1 1989,-2.502922
4428,Annual growth %,Jan 1 1990,15.205921
4429,Annual growth %,Jan 1 1991,10.96538
4430,Annual growth %,Jan 1 1992,8.06489
4431,Annual growth %,Jan 1 1993,-3.099295
4432,Annual growth %,Jan 1 1994,9.710159
4433,Annual growth %,Jan 1 1995,13.009663
4434,Annual growth %,Jan 1 1996,6.487241
4435,Annual growth %,Jan 1 1997,1.60373
4436,Annual growth %,Jan 1 1998,-1.27281
4437,Annual growth %,Jan 1 1999,-1.163694
4438,Annual growth %,Jan 1 2000,10.705673
4439,Annual growth %,Jan 1 2001,-3.067239
4440,Annual growth %,Jan 1 2002,-8.999534
4441,Annual growth %,Jan 1 2003,3.002207
4442,Annual growth %,Jan 1 2004,4.734123
4443,Annual growth %,Jan 1 2005,3.062153
4444,Annual growth %,Jan 1 2006,5.626859
4445,Annual growth %,Jan 1 2007,13.356918
4446,Annual growth %,Jan 1 2008,17.767898
4447,Annual growth %,Jan 1 2009,-6.256133
4448,Annual growth %,Jan 1 2010,10.385982
4449,Annual growth %,Jan 1 2011,9.641615
4450,Annual growth %,Jan 1 2012,-3.291576
4451,Annual growth %,Jan 1 2013,12.022777
4452,Annual growth %,Jan 1 2014,4.174972
4453,Annual growth %,Jan 1 2015,-4.656754
4454,Annual growth %,Jan 1 2016,4.67115
4455,Annual growth %,Jan 1 2017,8.943032
4456,Annual growth %,Jan 1 2018,3.184001
4457,Annual growth %,Jan 1 2019,4.888749
