,symbol,date,rate
4986,Annual growth %,Jan 1 1971,-6.131057
4987,Annual growth %,Jan 1 1972,15.779501
4988,Annual growth %,Jan 1 1973,47.826305
4989,Annual growth %,Jan 1 1974,11.180214
4990,Annual growth %,Jan 1 1975,1.377371
4991,Annual growth %,Jan 1 1976,-3.977102
4992,Annual growth %,Jan 1 1977,27.187628
4993,Annual growth %,Jan 1 1978,33.89789
4994,Annual growth %,Jan 1 1979,5.709716
4995,Annual growth %,Jan 1 1980,27.878169
4996,Annual growth %,Jan 1 1981,-1.211491
4997,Annual growth %,Jan 1 1982,-10.667186
4998,Annual growth %,Jan 1 1983,-0.538132
4999,Annual growth %,Jan 1 1984,-14.119471
5000,Annual growth %,Jan 1 1985,-21.82401
5001,Annual growth %,Jan 1 1986,9.166032
5002,Annual growth %,Jan 1 1987,31.010456
5003,Annual growth %,Jan 1 1988,12.414313
5004,Annual growth %,Jan 1 1989,3.256115
5005,Annual growth %,Jan 1 1990,14.13965
5006,Annual growth %,Jan 1 1991,8.863475
5007,Annual growth %,Jan 1 1992,17.267628
5008,Annual growth %,Jan 1 1993,-2.784237
5009,Annual growth %,Jan 1 1994,0.172331
5010,Annual growth %,Jan 1 1995,9.701431
5011,Annual growth %,Jan 1 1996,-1.672369
5012,Annual growth %,Jan 1 1997,6.956248
5013,Annual growth %,Jan 1 1998,-13.588101
5014,Annual growth %,Jan 1 1999,-1.086855
5015,Annual growth %,Jan 1 2000,-4.397529
5016,Annual growth %,Jan 1 2001,-8.542365
5017,Annual growth %,Jan 1 2002,-6.757009
5018,Annual growth %,Jan 1 2003,48.408651
5019,Annual growth %,Jan 1 2004,28.137021
5020,Annual growth %,Jan 1 2005,11.413102
5021,Annual growth %,Jan 1 2006,4.745147
5022,Annual growth %,Jan 1 2007,11.972469
5023,Annual growth %,Jan 1 2008,4.972324
5024,Annual growth %,Jan 1 2009,-1.397762
5025,Annual growth %,Jan 1 2010,28.185786
5026,Annual growth %,Jan 1 2011,15.075133
5027,Annual growth %,Jan 1 2012,-4.162384
5028,Annual growth %,Jan 1 2013,-4.866105
5029,Annual growth %,Jan 1 2014,2.544084
5030,Annual growth %,Jan 1 2015,-5.819854
5031,Annual growth %,Jan 1 2016,-9.424452
5032,Annual growth %,Jan 1 2017,10.118952
5033,Annual growth %,Jan 1 2018,6.26306
5034,Annual growth %,Jan 1 2019,-5.207272
