,symbol,date,price
5260,Annual growth %,Jan 1 1971,5.219273
5261,Annual growth %,Jan 1 1972,11.186835
5262,Annual growth %,Jan 1 1973,19.79942
5263,Annual growth %,Jan 1 1974,10.161029
5264,Annual growth %,Jan 1 1975,15.750188
5265,Annual growth %,Jan 1 1976,-7.105848
5266,Annual growth %,Jan 1 1977,5.078903
5267,Annual growth %,Jan 1 1978,9.985406
5268,Annual growth %,Jan 1 1979,26.065871
5269,Annual growth %,Jan 1 1980,13.39901
5270,Annual growth %,Jan 1 1981,-13.591077
5271,Annual growth %,Jan 1 1982,-4.701584
5272,Annual growth %,Jan 1 1983,-3.229447
5273,Annual growth %,Jan 1 1984,-18.671857
5274,Annual growth %,Jan 1 1985,-4.013007
5275,Annual growth %,Jan 1 1986,35.080989
5276,Annual growth %,Jan 1 1987,-23.4443
5277,Annual growth %,Jan 1 1988,-7.448589
5278,Annual growth %,Jan 1 1989,-0.59856
5279,Annual growth %,Jan 1 1990,19.783779
5280,Annual growth %,Jan 1 1991,-15.700303
5281,Annual growth %,Jan 1 1992,8.80755
5282,Annual growth %,Jan 1 1993,8.163127
5283,Annual growth %,Jan 1 1994,-14.325929
5284,Annual growth %,Jan 1 1995,2.921884
5285,Annual growth %,Jan 1 1996,22.543216
5286,Annual growth %,Jan 1 1997,-14.00166
5287,Annual growth %,Jan 1 1998,2.155558
5288,Annual growth %,Jan 1 1999,-3.542228
5289,Annual growth %,Jan 1 2000,1.001462
5290,Annual growth %,Jan 1 2001,13.261661
5291,Annual growth %,Jan 1 2002,-5.840423
5292,Annual growth %,Jan 1 2003,20.78388
5293,Annual growth %,Jan 1 2004,-22.62504
5294,Annual growth %,Jan 1 2005,12.098825
5295,Annual growth %,Jan 1 2006,6.308941
5296,Annual growth %,Jan 1 2007,29.348491
5297,Annual growth %,Jan 1 2008,22.271741
5298,Annual growth %,Jan 1 2009,-12.829599
5299,Annual growth %,Jan 1 2010,0.945263
5300,Annual growth %,Jan 1 2011,12.565978
5301,Annual growth %,Jan 1 2012,-2.468215
5302,Annual growth %,Jan 1 2013,4.422117
5303,Annual growth %,Jan 1 2014,-1.886054
5304,Annual growth %,Jan 1 2015,-11.985425
5305,Annual growth %,Jan 1 2016,1.86636
5306,Annual growth %,Jan 1 2017,8.265003
5307,Annual growth %,Jan 1 2018,1.679175
5308,Annual growth %,Jan 1 2019,-0.182551
