,symbol,date,rate
5554,Annual growth %,Jan 1 1971,3.753853
5555,Annual growth %,Jan 1 1972,4.364617
5556,Annual growth %,Jan 1 1973,10.928458
5557,Annual growth %,Jan 1 1974,25.266339
5558,Annual growth %,Jan 1 1975,5.203111
5559,Annual growth %,Jan 1 1976,4.76328
5560,Annual growth %,Jan 1 1977,7.607489
5561,Annual growth %,Jan 1 1978,6.271548
5562,Annual growth %,Jan 1 1979,11.071342
5563,Annual growth %,Jan 1 1980,0.59483
5564,Annual growth %,Jan 1 1981,11.337787
5565,Annual growth %,Jan 1 1982,7.71954
5566,Annual growth %,Jan 1 1983,14.21279
5567,Annual growth %,Jan 1 1984,3.199065
5568,Annual growth %,Jan 1 1985,-7.304756
5569,Annual growth %,Jan 1 1986,21.639106
5570,Annual growth %,Jan 1 1987,7.258418
5571,Annual growth %,Jan 1 1988,7.370149
5572,Annual growth %,Jan 1 1989,-0.918985
5573,Annual growth %,Jan 1 1990,4.490679
5574,Annual growth %,Jan 1 1991,2.675107
5575,Annual growth %,Jan 1 1992,8.486325
5576,Annual growth %,Jan 1 1993,7.93663
5577,Annual growth %,Jan 1 1994,7.826431
5578,Annual growth %,Jan 1 1995,10.717426
5579,Annual growth %,Jan 1 1996,-7.933313
5580,Annual growth %,Jan 1 1997,-4.843913
5581,Annual growth %,Jan 1 1998,2.448155
5582,Annual growth %,Jan 1 1999,-0.786942
5583,Annual growth %,Jan 1 2000,2.110684
5584,Annual growth %,Jan 1 2001,2.469454
5585,Annual growth %,Jan 1 2002,6.466411
5586,Annual growth %,Jan 1 2003,-0.223372
5587,Annual growth %,Jan 1 2004,2.358752
5588,Annual growth %,Jan 1 2005,4.189509
5589,Annual growth %,Jan 1 2006,3.608369
5590,Annual growth %,Jan 1 2007,4.635607
5591,Annual growth %,Jan 1 2008,0.429585
5592,Annual growth %,Jan 1 2009,-0.388478
5593,Annual growth %,Jan 1 2010,8.455631
5594,Annual growth %,Jan 1 2011,3.991891
5595,Annual growth %,Jan 1 2012,5.953309
5596,Annual growth %,Jan 1 2013,2.653634
5597,Annual growth %,Jan 1 2014,-4.124744
5598,Annual growth %,Jan 1 2015,-2.43759
5599,Annual growth %,Jan 1 2016,8.453621
5600,Annual growth %,Jan 1 2017,4.437288
5601,Annual growth %,Jan 1 2018,5.864426
5602,Annual growth %,Jan 1 2019,6.599701
