,symbol,date,price
5652,Annual growth %,Jan 1 1971,10.70946
5653,Annual growth %,Jan 1 1972,23.507473
5654,Annual growth %,Jan 1 1973,23.447622
5655,Annual growth %,Jan 1 1974,63.663061
5656,Annual growth %,Jan 1 1975,-1.047487
5657,Annual growth %,Jan 1 1976,22.195363
5658,Annual growth %,Jan 1 1977,15.036037
5659,Annual growth %,Jan 1 1978,21.241618
5660,Annual growth %,Jan 1 1979,17.431619
5661,Annual growth %,Jan 1 1980,-7.852097
5662,Annual growth %,Jan 1 1981,-0.305854
5663,Annual growth %,Jan 1 1982,-6.634087
5664,Annual growth %,Jan 1 1983,0.115014
5665,Annual growth %,Jan 1 1984,-5.400772
5666,Annual growth %,Jan 1 1985,2.577066
5667,Annual growth %,Jan 1 1986,34.943617
5668,Annual growth %,Jan 1 1987,24.302575
5669,Annual growth %,Jan 1 1988,12.247365
5670,Annual growth %,Jan 1 1989,1.444368
5671,Annual growth %,Jan 1 1990,19.628135
5672,Annual growth %,Jan 1 1991,5.858
5673,Annual growth %,Jan 1 1992,14.920457
5674,Annual growth %,Jan 1 1993,-0.289085
5675,Annual growth %,Jan 1 1994,7.667084
5676,Annual growth %,Jan 1 1995,11.898121
5677,Annual growth %,Jan 1 1996,8.116119
5678,Annual growth %,Jan 1 1997,-6.304198
5679,Annual growth %,Jan 1 1998,-1.374871
5680,Annual growth %,Jan 1 1999,2.011859
5681,Annual growth %,Jan 1 2000,6.490767
5682,Annual growth %,Jan 1 2001,-1.792095
5683,Annual growth %,Jan 1 2002,4.245067
5684,Annual growth %,Jan 1 2003,19.43119
5685,Annual growth %,Jan 1 2004,12.483074
5686,Annual growth %,Jan 1 2005,-1.880142
5687,Annual growth %,Jan 1 2006,3.227909
5688,Annual growth %,Jan 1 2007,15.408423
5689,Annual growth %,Jan 1 2008,22.047349
5690,Annual growth %,Jan 1 2009,-8.970819
5691,Annual growth %,Jan 1 2010,9.235036
5692,Annual growth %,Jan 1 2011,14.854263
5693,Annual growth %,Jan 1 2012,1.11011
5694,Annual growth %,Jan 1 2013,3.7878
5695,Annual growth %,Jan 1 2014,5.395059
5696,Annual growth %,Jan 1 2015,-8.830883
5697,Annual growth %,Jan 1 2016,4.420261
5698,Annual growth %,Jan 1 2017,8.168907
5699,Annual growth %,Jan 1 2018,6.73015
5700,Annual growth %,Jan 1 2019,-0.205028
