,symbol,date,rate
6073,Annual growth %,Jan 1 1971,1.846953
6074,Annual growth %,Jan 1 1972,-4.534904
6075,Annual growth %,Jan 1 1973,27.476491
6076,Annual growth %,Jan 1 1974,18.804117
6077,Annual growth %,Jan 1 1975,-11.448431
6078,Annual growth %,Jan 1 1976,4.200301
6079,Annual growth %,Jan 1 1977,-0.103855
6080,Annual growth %,Jan 1 1978,11.130205
6081,Annual growth %,Jan 1 1979,11.208649
6082,Annual growth %,Jan 1 1980,8.598269
6083,Annual growth %,Jan 1 1981,-2.477211
6084,Annual growth %,Jan 1 1982,-1.228257
6085,Annual growth %,Jan 1 1983,1.491845
6086,Annual growth %,Jan 1 1984,-0.458526
6087,Annual growth %,Jan 1 1985,0.839014
6088,Annual growth %,Jan 1 1986,-15.415116
6089,Annual growth %,Jan 1 1987,-7.015495
6090,Annual growth %,Jan 1 1988,-2.589198
6091,Annual growth %,Jan 1 1989,5.594707
6092,Annual growth %,Jan 1 1990,3.310653
6093,Annual growth %,Jan 1 1991,6.590709
6094,Annual growth %,Jan 1 1992,8.893041
6095,Annual growth %,Jan 1 1993,8.065148
6096,Annual growth %,Jan 1 1994,8.247327
6097,Annual growth %,Jan 1 1995,7.638318
6098,Annual growth %,Jan 1 1996,6.638888
6099,Annual growth %,Jan 1 1997,5.740772
6100,Annual growth %,Jan 1 1998,-37.690635
6101,Annual growth %,Jan 1 1999,0.534502
6102,Annual growth %,Jan 1 2000,20.70908
6103,Annual growth %,Jan 1 2001,12.28349
6104,Annual growth %,Jan 1 2002,23.367289
6105,Annual growth %,Jan 1 2003,-12.978119
6106,Annual growth %,Jan 1 2004,10.749868
6107,Annual growth %,Jan 1 2005,16.335682
6108,Annual growth %,Jan 1 2006,15.908305
6109,Annual growth %,Jan 1 2007,23.538874
6110,Annual growth %,Jan 1 2008,35.145867
6111,Annual growth %,Jan 1 2009,27.351367
6112,Annual growth %,Jan 1 2010,24.42912
6113,Annual growth %,Jan 1 2011,34.939913
6114,Annual growth %,Jan 1 2012,5.762193
6115,Annual growth %,Jan 1 2013,0.663565
6116,Annual growth %,Jan 1 2014,5.283406
6117,Annual growth %,Jan 1 2015,-9.609024
6118,Annual growth %,Jan 1 2016,4.191
6119,Annual growth %,Jan 1 2017,0.98763
6120,Annual growth %,Jan 1 2018,7.50564
6121,Annual growth %,Jan 1 2019,3.651826
