,symbol,date,rate
6171,Annual growth %,Jan 1 1971,7.625504
6172,Annual growth %,Jan 1 1972,15.660495
6173,Annual growth %,Jan 1 1973,27.153487
6174,Annual growth %,Jan 1 1974,27.692892
6175,Annual growth %,Jan 1 1975,-1.135213
6176,Annual growth %,Jan 1 1976,0.034314
6177,Annual growth %,Jan 1 1977,-1.424386
6178,Annual growth %,Jan 1 1978,6.872782
6179,Annual growth %,Jan 1 1979,1.646869
6180,Annual growth %,Jan 1 1980,7.965924
6181,Annual growth %,Jan 1 1981,4.821404
6182,Annual growth %,Jan 1 1982,-6.67858
6183,Annual growth %,Jan 1 1983,-5.875186
6184,Annual growth %,Jan 1 1984,-3.425995
6185,Annual growth %,Jan 1 1985,-19.252771
6186,Annual growth %,Jan 1 1986,-1.220292
6187,Annual growth %,Jan 1 1987,8.938625
6188,Annual growth %,Jan 1 1988,13.66151
6189,Annual growth %,Jan 1 1989,3.343134
6190,Annual growth %,Jan 1 1990,5.442517
6191,Annual growth %,Jan 1 1991,-9.96374
6192,Annual growth %,Jan 1 1992,-8.830821
6193,Annual growth %,Jan 1 1993,-15.855888
6194,Annual growth %,Jan 1 1994,-2.331222
6195,Annual growth %,Jan 1 1995,-6.157314
6196,Annual growth %,Jan 1 1996,-3.577464
6197,Annual growth %,Jan 1 1997,-8.149335
6198,Annual growth %,Jan 1 1998,-21.794845
6199,Annual growth %,Jan 1 1999,3.549426
6200,Annual growth %,Jan 1 2000,-10.683231
6201,Annual growth %,Jan 1 2001,-11.292045
6202,Annual growth %,Jan 1 2002,1.257663
6203,Annual growth %,Jan 1 2003,27.794649
6204,Annual growth %,Jan 1 2004,15.676572
6205,Annual growth %,Jan 1 2005,-4.301434
6206,Annual growth %,Jan 1 2006,-3.220182
6207,Annual growth %,Jan 1 2007,-9.110643
6208,Annual growth %,Jan 1 2008,78.871373
6209,Annual growth %,Jan 1 2009,29.931831
6210,Annual growth %,Jan 1 2010,8.559595
6211,Annual growth %,Jan 1 2011,47.345632
6212,Annual growth %,Jan 1 2012,36.16848
6213,Annual growth %,Jan 1 2013,-2.619895
6214,Annual growth %,Jan 1 2014,11.521367
6215,Annual growth %,Jan 1 2015,-22.147983
6216,Annual growth %,Jan 1 2016,12.244192
6217,Annual growth %,Jan 1 2017,7.939423
6218,Annual growth %,Jan 1 2018,6.37224
6219,Annual growth %,Jan 1 2019,-4.644769
