,symbol,date,rate
6318,Annual growth %,Jan 1 1971,7.188893
6319,Annual growth %,Jan 1 1972,12.349186
6320,Annual growth %,Jan 1 1973,11.049785
6321,Annual growth %,Jan 1 1974,24.70542
6322,Annual growth %,Jan 1 1975,17.840131
6323,Annual growth %,Jan 1 1976,11.483556
6324,Annual growth %,Jan 1 1977,12.817183
6325,Annual growth %,Jan 1 1978,21.803596
6326,Annual growth %,Jan 1 1979,18.287074
6327,Annual growth %,Jan 1 1980,10.380761
6328,Annual growth %,Jan 1 1981,14.347156
6329,Annual growth %,Jan 1 1982,5.883679
6330,Annual growth %,Jan 1 1983,-1.641379
6331,Annual growth %,Jan 1 1984,-0.174988
6332,Annual growth %,Jan 1 1985,0.831726
6333,Annual growth %,Jan 1 1986,28.544085
6334,Annual growth %,Jan 1 1987,3.684491
6335,Annual growth %,Jan 1 1988,2.95453
6336,Annual growth %,Jan 1 1989,11.617235
6337,Annual growth %,Jan 1 1990,4.958171
6338,Annual growth %,Jan 1 1991,4.502765
6339,Annual growth %,Jan 1 1992,4.594039
6340,Annual growth %,Jan 1 1993,6.542007
6341,Annual growth %,Jan 1 1994,7.728558
6342,Annual growth %,Jan 1 1995,3.760096
6343,Annual growth %,Jan 1 1996,5.675784
6344,Annual growth %,Jan 1 1997,4.455317
6345,Annual growth %,Jan 1 1998,2.511134
6346,Annual growth %,Jan 1 1999,0.681734
6347,Annual growth %,Jan 1 2000,3.631476
6348,Annual growth %,Jan 1 2001,2.42739
6349,Annual growth %,Jan 1 2002,1.902773
6350,Annual growth %,Jan 1 2003,3.21505
6351,Annual growth %,Jan 1 2004,2.496564
6352,Annual growth %,Jan 1 2005,-2.547172
6353,Annual growth %,Jan 1 2006,3.643551
6354,Annual growth %,Jan 1 2007,3.43693
6355,Annual growth %,Jan 1 2008,5.683031
6356,Annual growth %,Jan 1 2009,-1.507696
6357,Annual growth %,Jan 1 2010,0.76398
6358,Annual growth %,Jan 1 2011,-1.580725
6359,Annual growth %,Jan 1 2012,1.590707
