,symbol,date,rate
6409,Annual growth %,Jan 1 1971,19.945903
6410,Annual growth %,Jan 1 1972,19.218098
6411,Annual growth %,Jan 1 1973,28.928602
6412,Annual growth %,Jan 1 1974,10.30946
6413,Annual growth %,Jan 1 1975,-4.340968
6414,Annual growth %,Jan 1 1976,-0.261912
6415,Annual growth %,Jan 1 1977,8.879956
6416,Annual growth %,Jan 1 1978,21.190379
6417,Annual growth %,Jan 1 1979,13.472508
6418,Annual growth %,Jan 1 1980,10.873593
6419,Annual growth %,Jan 1 1981,7.151965
6420,Annual growth %,Jan 1 1982,-1.127564
6421,Annual growth %,Jan 1 1983,-1.613475
6422,Annual growth %,Jan 1 1984,-4.59069
6423,Annual growth %,Jan 1 1985,-0.108828
6424,Annual growth %,Jan 1 1986,24.808676
6425,Annual growth %,Jan 1 1987,26.170167
6426,Annual growth %,Jan 1 1988,19.52397
6427,Annual growth %,Jan 1 1989,-4.345661
6428,Annual growth %,Jan 1 1990,0.690851
6429,Annual growth %,Jan 1 1991,-4.879375
6430,Annual growth %,Jan 1 1992,-5.6051
6431,Annual growth %,Jan 1 1993,6.6465
6432,Annual growth %,Jan 1 1994,15.453562
6433,Annual growth %,Jan 1 1995,16.241576
6434,Annual growth %,Jan 1 1996,8.785545
6435,Annual growth %,Jan 1 1997,-1.204475
6436,Annual growth %,Jan 1 1998,-18.180621
6437,Annual growth %,Jan 1 1999,3.856978
6438,Annual growth %,Jan 1 2000,-10.104772
6439,Annual growth %,Jan 1 2001,-1.858529
6440,Annual growth %,Jan 1 2002,13.93365
6441,Annual growth %,Jan 1 2003,32.248637
6442,Annual growth %,Jan 1 2004,20.343051
6443,Annual growth %,Jan 1 2005,10.494945
6444,Annual growth %,Jan 1 2006,-3.884406
6445,Annual growth %,Jan 1 2007,21.661416
6446,Annual growth %,Jan 1 2008,-3.966468
6447,Annual growth %,Jan 1 2009,-9.907863
6448,Annual growth %,Jan 1 2010,19.512228
6449,Annual growth %,Jan 1 2011,13.660909
6450,Annual growth %,Jan 1 2012,3.423967
6451,Annual growth %,Jan 1 2013,7.08196
6452,Annual growth %,Jan 1 2014,4.137949
6453,Annual growth %,Jan 1 2015,-12.534835
6454,Annual growth %,Jan 1 2016,5.042626
6455,Annual growth %,Jan 1 2017,8.141255
6456,Annual growth %,Jan 1 2018,0.342337
6457,Annual growth %,Jan 1 2019,-1.384266
