,symbol,date,price
6781,Annual growth %,Jan 1 1971,7.685731
6782,Annual growth %,Jan 1 1972,7.279564
6783,Annual growth %,Jan 1 1973,7.349626
6784,Annual growth %,Jan 1 1974,8.154934
6785,Annual growth %,Jan 1 1975,9.303807
6786,Annual growth %,Jan 1 1976,10.526339
6787,Annual growth %,Jan 1 1977,11.199029
6788,Annual growth %,Jan 1 1978,12.114445
6789,Annual growth %,Jan 1 1979,11.652931
6790,Annual growth %,Jan 1 1980,10.538522
6791,Annual growth %,Jan 1 1981,9.190024
6792,Annual growth %,Jan 1 1982,8.001991
6793,Annual growth %,Jan 1 1983,7.283619
6794,Annual growth %,Jan 1 1984,9.977501
6795,Annual growth %,Jan 1 1985,11.068412
6796,Annual growth %,Jan 1 1986,11.376811
6797,Annual growth %,Jan 1 1987,11.517078
6798,Annual growth %,Jan 1 1988,11.665474
6799,Annual growth %,Jan 1 1989,11.494751
6800,Annual growth %,Jan 1 1990,11.232224
6801,Annual growth %,Jan 1 1991,7.41828
6802,Annual growth %,Jan 1 1992,4.682845
6803,Annual growth %,Jan 1 1993,-10.389592
6804,Annual growth %,Jan 1 1994,3.145288
6805,Annual growth %,Jan 1 1995,18.204965
6806,Annual growth %,Jan 1 1996,16.509133
6807,Annual growth %,Jan 1 1997,5.76936
6808,Annual growth %,Jan 1 1998,1.398639
6809,Annual growth %,Jan 1 1999,-5.154415
6810,Annual growth %,Jan 1 2000,1.517641
6811,Annual growth %,Jan 1 2001,5.434163
6812,Annual growth %,Jan 1 2002,0.879013
6813,Annual growth %,Jan 1 2003,-3.108363
6814,Annual growth %,Jan 1 2004,9.435659
6815,Annual growth %,Jan 1 2005,6.861925
6816,Annual growth %,Jan 1 2006,3.735853
6817,Annual growth %,Jan 1 2007,5.016286
6818,Annual growth %,Jan 1 2008,4.213484
6819,Annual growth %,Jan 1 2009,-5.278725
6820,Annual growth %,Jan 1 2010,1.909858
6821,Annual growth %,Jan 1 2011,6.50186
6822,Annual growth %,Jan 1 2012,9.949052
6823,Annual growth %,Jan 1 2013,6.023801
6824,Annual growth %,Jan 1 2014,8.721439
6825,Annual growth %,Jan 1 2015,14.420182
6826,Annual growth %,Jan 1 2016,6.068502
6827,Annual growth %,Jan 1 2017,-3.547098
6828,Annual growth %,Jan 1 2018,-1.325032
6829,Annual growth %,Jan 1 2019,-2.269164
