,symbol,date,rate
6879,Annual growth %,Jan 1 1971,9.668605
6880,Annual growth %,Jan 1 1972,6.825419
6881,Annual growth %,Jan 1 1973,11.238751
6882,Annual growth %,Jan 1 1974,11.203148
6883,Annual growth %,Jan 1 1975,9.045244
6884,Annual growth %,Jan 1 1976,3.465057
6885,Annual growth %,Jan 1 1977,3.349567
6886,Annual growth %,Jan 1 1978,15.628237
6887,Annual growth %,Jan 1 1979,11.679653
6888,Annual growth %,Jan 1 1980,24.398695
6889,Annual growth %,Jan 1 1981,9.973461
6890,Annual growth %,Jan 1 1982,3.439605
6891,Annual growth %,Jan 1 1983,2.681368
6892,Annual growth %,Jan 1 1984,3.35694
6893,Annual growth %,Jan 1 1985,4.286871
6894,Annual growth %,Jan 1 1986,3.359117
6895,Annual growth %,Jan 1 1987,0.911601
6896,Annual growth %,Jan 1 1988,-12.529171
6897,Annual growth %,Jan 1 1989,-1.841685
6898,Annual growth %,Jan 1 1990,6.443294
6899,Annual growth %,Jan 1 1991,7.68459
6900,Annual growth %,Jan 1 1992,11.34616
6901,Annual growth %,Jan 1 1993,6.977339
6902,Annual growth %,Jan 1 1994,4.46816
6903,Annual growth %,Jan 1 1995,0.153722
6904,Annual growth %,Jan 1 1996,1.011191
6905,Annual growth %,Jan 1 1997,5.990032
6906,Annual growth %,Jan 1 1998,6.238175
6907,Annual growth %,Jan 1 1999,2.715518
6908,Annual growth %,Jan 1 2000,-0.54518
6909,Annual growth %,Jan 1 2001,-0.341645
6910,Annual growth %,Jan 1 2002,1.971377
6911,Annual growth %,Jan 1 2003,3.41865
6912,Annual growth %,Jan 1 2004,7.612519
6913,Annual growth %,Jan 1 2005,7.072117
6914,Annual growth %,Jan 1 2006,8.805977
6915,Annual growth %,Jan 1 2007,20.101014
6916,Annual growth %,Jan 1 2008,16.024405
6917,Annual growth %,Jan 1 2009,5.896698
6918,Annual growth %,Jan 1 2010,6.677339
6919,Annual growth %,Jan 1 2011,15.791005
6920,Annual growth %,Jan 1 2012,14.575672
6921,Annual growth %,Jan 1 2013,10.882428
6922,Annual growth %,Jan 1 2014,7.628243
6923,Annual growth %,Jan 1 2015,6.519561
6924,Annual growth %,Jan 1 2016,5.235765
6925,Annual growth %,Jan 1 2017,5.594183
6926,Annual growth %,Jan 1 2018,2.62989
6927,Annual growth %,Jan 1 2019,1.178837
