,symbol,date,rate
6928,Annual growth %,Jan 1 1971,9.038225
6929,Annual growth %,Jan 1 1972,16.842661
6930,Annual growth %,Jan 1 1973,47.677214
6931,Annual growth %,Jan 1 1974,10.509938
6932,Annual growth %,Jan 1 1975,-9.823089
6933,Annual growth %,Jan 1 1976,4.916262
6934,Annual growth %,Jan 1 1977,7.348306
6935,Annual growth %,Jan 1 1978,18.421466
6936,Annual growth %,Jan 1 1979,12.090194
6937,Annual growth %,Jan 1 1980,8.101564
6938,Annual growth %,Jan 1 1981,-4.46278
6939,Annual growth %,Jan 1 1982,-7.713445
6940,Annual growth %,Jan 1 1983,-2.993986
6941,Annual growth %,Jan 1 1984,-3.616886
6942,Annual growth %,Jan 1 1985,-7.868914
6943,Annual growth %,Jan 1 1986,7.475088
6944,Annual growth %,Jan 1 1987,15.791708
6945,Annual growth %,Jan 1 1988,13.462848
6946,Annual growth %,Jan 1 1989,-5.311891
6947,Annual growth %,Jan 1 1990,-11.317737
6948,Annual growth %,Jan 1 1991,14.884843
6949,Annual growth %,Jan 1 1992,10.690317
6950,Annual growth %,Jan 1 1993,11.068654
6951,Annual growth %,Jan 1 1994,4.479462
6952,Annual growth %,Jan 1 1995,-11.161375
6953,Annual growth %,Jan 1 1996,3.871496
6954,Annual growth %,Jan 1 1997,-6.745147
6955,Annual growth %,Jan 1 1998,-25.412037
6956,Annual growth %,Jan 1 1999,-10.894141
6957,Annual growth %,Jan 1 2000,-0.388889
6958,Annual growth %,Jan 1 2001,-14.194237
6959,Annual growth %,Jan 1 2002,-2.672268
6960,Annual growth %,Jan 1 2003,19.473772
6961,Annual growth %,Jan 1 2004,10.083786
6962,Annual growth %,Jan 1 2005,13.986558
6963,Annual growth %,Jan 1 2006,10.995582
6964,Annual growth %,Jan 1 2007,11.532618
6965,Annual growth %,Jan 1 2008,19.332875
6966,Annual growth %,Jan 1 2009,-2.789741
6967,Annual growth %,Jan 1 2010,19.865492
6968,Annual growth %,Jan 1 2011,23.47358
6969,Annual growth %,Jan 1 2012,15.940227
6970,Annual growth %,Jan 1 2013,-2.176329
6971,Annual growth %,Jan 1 2014,6.993807
6972,Annual growth %,Jan 1 2015,-8.267168
6973,Annual growth %,Jan 1 2016,-6.334668
6974,Annual growth %,Jan 1 2017,7.397655
6975,Annual growth %,Jan 1 2018,4.395447
6976,Annual growth %,Jan 1 2019,1.118177
