,symbol,date,price
7026,Annual growth %,Jan 1 1971,8.518715
7027,Annual growth %,Jan 1 1972,7.845594
7028,Annual growth %,Jan 1 1973,16.35801
7029,Annual growth %,Jan 1 1974,22.718298
7030,Annual growth %,Jan 1 1975,18.894345
7031,Annual growth %,Jan 1 1976,-7.089638
7032,Annual growth %,Jan 1 1977,-12.227674
7033,Annual growth %,Jan 1 1978,-16.300642
7034,Annual growth %,Jan 1 1979,24.497774
7035,Annual growth %,Jan 1 1980,29.752834
7036,Annual growth %,Jan 1 1981,19.172479
7037,Annual growth %,Jan 1 1982,-0.709614
7038,Annual growth %,Jan 1 1983,-24.224181
7039,Annual growth %,Jan 1 1984,2.397384
7040,Annual growth %,Jan 1 1985,-15.643115
7041,Annual growth %,Jan 1 1986,45.332292
7042,Annual growth %,Jan 1 1987,60.153556
7043,Annual growth %,Jan 1 1988,-14.562925
7044,Annual growth %,Jan 1 1989,10.03771
7045,Annual growth %,Jan 1 1990,-17.950173
7046,Annual growth %,Jan 1 1991,15.618016
7047,Annual growth %,Jan 1 1992,2.431485
7048,Annual growth %,Jan 1 1993,-5.279422
7049,Annual growth %,Jan 1 1994,26.527678
7050,Annual growth %,Jan 1 1995,17.295791
7051,Annual growth %,Jan 1 1996,1.66342
7052,Annual growth %,Jan 1 1997,3.284397
7053,Annual growth %,Jan 1 1998,-6.227194
7054,Annual growth %,Jan 1 1999,-10.983003
7055,Annual growth %,Jan 1 2000,1.578152
7056,Annual growth %,Jan 1 2001,-0.682938
7057,Annual growth %,Jan 1 2002,4.106351
7058,Annual growth %,Jan 1 2003,6.140958
7059,Annual growth %,Jan 1 2004,12.64542
7060,Annual growth %,Jan 1 2005,12.936267
7061,Annual growth %,Jan 1 2006,15.554428
7062,Annual growth %,Jan 1 2007,14.336335
7063,Annual growth %,Jan 1 2008,17.065944
7064,Annual growth %,Jan 1 2009,-0.603708
7065,Annual growth %,Jan 1 2010,21.085892
7066,Annual growth %,Jan 1 2011,15.485347
7067,Annual growth %,Jan 1 2012,11.239503
7068,Annual growth %,Jan 1 2013,3.48827
7069,Annual growth %,Jan 1 2014,-1.242885
7070,Annual growth %,Jan 1 2015,-6.650179
7071,Annual growth %,Jan 1 2016,-0.384604
7072,Annual growth %,Jan 1 2017,8.145981
7073,Annual growth %,Jan 1 2018,3.437847
7074,Annual growth %,Jan 1 2019,0.526399
