,symbol,date,rate
7173,Annual growth %,Jan 1 1971,12.885442
7174,Annual growth %,Jan 1 1972,20.832938
7175,Annual growth %,Jan 1 1973,32.5388
7176,Annual growth %,Jan 1 1974,14.303856
7177,Annual growth %,Jan 1 1975,8.95394
7178,Annual growth %,Jan 1 1976,3.599977
7179,Annual growth %,Jan 1 1977,3.977653
7180,Annual growth %,Jan 1 1978,8.193188
7181,Annual growth %,Jan 1 1979,12.044879
7182,Annual growth %,Jan 1 1980,22.432195
7183,Annual growth %,Jan 1 1981,-3.480359
7184,Annual growth %,Jan 1 1982,-5.02126
7185,Annual growth %,Jan 1 1983,-11.052991
7186,Annual growth %,Jan 1 1984,-7.596486
7187,Annual growth %,Jan 1 1985,7.435365
7188,Annual growth %,Jan 1 1986,42.927701
7189,Annual growth %,Jan 1 1987,24.513746
7190,Annual growth %,Jan 1 1988,17.116791
7191,Annual growth %,Jan 1 1989,7.634053
7192,Annual growth %,Jan 1 1990,29.850924
7193,Annual growth %,Jan 1 1991,13.125915
7194,Annual growth %,Jan 1 1992,20.147909
7195,Annual growth %,Jan 1 1993,-12.095854
7196,Annual growth %,Jan 1 1994,4.418843
7197,Annual growth %,Jan 1 1995,17.941272
7198,Annual growth %,Jan 1 1996,3.385434
7199,Annual growth %,Jan 1 1997,-4.957382
7200,Annual growth %,Jan 1 1998,5.512106
7201,Annual growth %,Jan 1 1999,2.395231
7202,Annual growth %,Jan 1 2000,-7.53607
7203,Annual growth %,Jan 1 2001,2.253581
7204,Annual growth %,Jan 1 2002,9.950083
7205,Annual growth %,Jan 1 2003,22.363999
7206,Annual growth %,Jan 1 2004,14.219178
7207,Annual growth %,Jan 1 2005,3.929108
7208,Annual growth %,Jan 1 2006,5.43492
7209,Annual growth %,Jan 1 2007,14.824149
7210,Annual growth %,Jan 1 2008,9.00457
7211,Annual growth %,Jan 1 2009,-7.191963
7212,Annual growth %,Jan 1 2010,-2.308902
7213,Annual growth %,Jan 1 2011,3.167218
7214,Annual growth %,Jan 1 2012,-11.305607
7215,Annual growth %,Jan 1 2013,5.218666
7216,Annual growth %,Jan 1 2014,1.958928
7217,Annual growth %,Jan 1 2015,-12.771846
7218,Annual growth %,Jan 1 2016,3.927201
7219,Annual growth %,Jan 1 2017,7.692302
7220,Annual growth %,Jan 1 2018,9.811788
7221,Annual growth %,Jan 1 2019,-1.166829
