,symbol,date,price
7525,Annual growth %,Jan 1 1971,21.284058
7526,Annual growth %,Jan 1 1972,17.581541
7527,Annual growth %,Jan 1 1973,5.422948
7528,Annual growth %,Jan 1 1974,30.197991
7529,Annual growth %,Jan 1 1975,6.023594
7530,Annual growth %,Jan 1 1976,-15.252213
7531,Annual growth %,Jan 1 1977,4.008656
7532,Annual growth %,Jan 1 1978,11.690161
7533,Annual growth %,Jan 1 1979,19.723503
7534,Annual growth %,Jan 1 1980,17.019923
7535,Annual growth %,Jan 1 1981,18.830086
7536,Annual growth %,Jan 1 1982,6.923581
7537,Annual growth %,Jan 1 1983,1.575073
7538,Annual growth %,Jan 1 1984,14.263056
7539,Annual growth %,Jan 1 1985,13.474799
7540,Annual growth %,Jan 1 1986,18.824936
7541,Annual growth %,Jan 1 1987,14.263108
7542,Annual growth %,Jan 1 1988,18.03348
7543,Annual growth %,Jan 1 1989,12.273328
7544,Annual growth %,Jan 1 1990,13.117394
7545,Annual growth %,Jan 1 1991,1.208726
7546,Annual growth %,Jan 1 1992,8.934528
7547,Annual growth %,Jan 1 1993,7.768363
7548,Annual growth %,Jan 1 1994,10.610289
7549,Annual growth %,Jan 1 1995,5.055206
7550,Annual growth %,Jan 1 1996,5.520689
7551,Annual growth %,Jan 1 1997,11.083345
7552,Annual growth %,Jan 1 1998,1.431154
7553,Annual growth %,Jan 1 1999,5.133463
7554,Annual growth %,Jan 1 2000,2.577236
7555,Annual growth %,Jan 1 2001,7.537342
7556,Annual growth %,Jan 1 2002,3.578434
7557,Annual growth %,Jan 1 2003,-3.570879
7558,Annual growth %,Jan 1 2004,6.641508
7559,Annual growth %,Jan 1 2005,6.72307
7560,Annual growth %,Jan 1 2006,16.565328
7561,Annual growth %,Jan 1 2007,5.980762
7562,Annual growth %,Jan 1 2008,8.066197
7563,Annual growth %,Jan 1 2009,-1.296206
7564,Annual growth %,Jan 1 2010,0.780934
7565,Annual growth %,Jan 1 2011,6.638113
7566,Annual growth %,Jan 1 2012,-2.984258
7567,Annual growth %,Jan 1 2013,3.991819
7568,Annual growth %,Jan 1 2014,8.192156
7569,Annual growth %,Jan 1 2015,-0.124998
7570,Annual growth %,Jan 1 2016,4.340815
7571,Annual growth %,Jan 1 2017,1.825896
7572,Annual growth %,Jan 1 2018,0.626385
7573,Annual growth %,Jan 1 2019,3.22212
