,symbol,date,rate
7672,Annual growth %,Jan 1 1971,17.015709
7673,Annual growth %,Jan 1 1972,14.935599
7674,Annual growth %,Jan 1 1973,30.944499
7675,Annual growth %,Jan 1 1974,11.985455
7676,Annual growth %,Jan 1 1975,-0.829255
7677,Annual growth %,Jan 1 1976,-9.676416
7678,Annual growth %,Jan 1 1977,14.989306
7679,Annual growth %,Jan 1 1978,9.546347
7680,Annual growth %,Jan 1 1979,12.883509
7681,Annual growth %,Jan 1 1980,2.186706
7682,Annual growth %,Jan 1 1981,-6.537194
7683,Annual growth %,Jan 1 1982,1.931339
7684,Annual growth %,Jan 1 1983,-8.290878
7685,Annual growth %,Jan 1 1984,-2.927229
7686,Annual growth %,Jan 1 1985,-12.885034
7687,Annual growth %,Jan 1 1986,5.260876
7688,Annual growth %,Jan 1 1987,10.376258
7689,Annual growth %,Jan 1 1988,18.680323
7690,Annual growth %,Jan 1 1989,-7.936459
7691,Annual growth %,Jan 1 1990,1.855116
7692,Annual growth %,Jan 1 1991,-0.934121
7693,Annual growth %,Jan 1 1992,4.468181
7694,Annual growth %,Jan 1 1993,-0.372069
7695,Annual growth %,Jan 1 1994,65.524897
7696,Annual growth %,Jan 1 1995,-1.925188
7697,Annual growth %,Jan 1 1996,11.823337
7698,Annual growth %,Jan 1 1997,8.30666
7699,Annual growth %,Jan 1 1998,-6.701127
7700,Annual growth %,Jan 1 1999,1.56474
7701,Annual growth %,Jan 1 2000,0.159201
7702,Annual growth %,Jan 1 2001,3.066004
7703,Annual growth %,Jan 1 2002,9.689504
7704,Annual growth %,Jan 1 2003,21.027142
7705,Annual growth %,Jan 1 2004,18.927109
7706,Annual growth %,Jan 1 2005,12.141355
7707,Annual growth %,Jan 1 2006,3.093581
7708,Annual growth %,Jan 1 2007,41.916786
7709,Annual growth %,Jan 1 2008,1.274573
7710,Annual growth %,Jan 1 2009,-9.514298
7711,Annual growth %,Jan 1 2010,11.694683
7712,Annual growth %,Jan 1 2011,9.069758
7713,Annual growth %,Jan 1 2012,-1.594434
7714,Annual growth %,Jan 1 2013,0.268706
7715,Annual growth %,Jan 1 2014,1.400033
7716,Annual growth %,Jan 1 2015,0.110796
7717,Annual growth %,Jan 1 2016,3.867849
7718,Annual growth %,Jan 1 2017,-0.086528
7719,Annual growth %,Jan 1 2018,0.712249
7720,Annual growth %,Jan 1 2019,0.834967
