,symbol,date,rate
7995,Annual growth %,Jan 1 1971,4.42661
7996,Annual growth %,Jan 1 1972,8.068129
7997,Annual growth %,Jan 1 1973,11.782385
7998,Annual growth %,Jan 1 1974,12.795562
7999,Annual growth %,Jan 1 1975,4.654674
8000,Annual growth %,Jan 1 1976,-9.021875
8001,Annual growth %,Jan 1 1977,11.492234
8002,Annual growth %,Jan 1 1978,26.275181
8003,Annual growth %,Jan 1 1979,12.666698
8004,Annual growth %,Jan 1 1980,10.305897
8005,Annual growth %,Jan 1 1981,4.842658
8006,Annual growth %,Jan 1 1982,10.025705
8007,Annual growth %,Jan 1 1983,-14.981164
8008,Annual growth %,Jan 1 1984,19.65622
8009,Annual growth %,Jan 1 1985,-21.646495
8010,Annual growth %,Jan 1 1986,-31.843209
8011,Annual growth %,Jan 1 1987,-17.719298
8012,Annual growth %,Jan 1 1988,52.273044
8013,Annual growth %,Jan 1 1989,-7.794326
8014,Annual growth %,Jan 1 1990,-28.51197
8015,Annual growth %,Jan 1 1991,19.26699
8016,Annual growth %,Jan 1 1992,-12.804134
8017,Annual growth %,Jan 1 1993,13.563677
8018,Annual growth %,Jan 1 1994,19.123481
8019,Annual growth %,Jan 1 1995,-4.378333
8020,Annual growth %,Jan 1 1996,7.93205
8021,Annual growth %,Jan 1 1997,-10.184829
8022,Annual growth %,Jan 1 1998,-21.753634
8023,Annual growth %,Jan 1 1999,-2.24793
8024,Annual growth %,Jan 1 2000,-7.540098
8025,Annual growth %,Jan 1 2001,22.185032
8026,Annual growth %,Jan 1 2002,10.034703
8027,Annual growth %,Jan 1 2003,5.566831
8028,Annual growth %,Jan 1 2004,0.047858
8029,Annual growth %,Jan 1 2005,9.670795
8030,Annual growth %,Jan 1 2006,10.617389
8031,Annual growth %,Jan 1 2007,11.43605
8032,Annual growth %,Jan 1 2008,13.349703
8033,Annual growth %,Jan 1 2009,-4.230247
8034,Annual growth %,Jan 1 2010,2.718294
8035,Annual growth %,Jan 1 2011,11.572542
8036,Annual growth %,Jan 1 2012,26.328574
8037,Annual growth %,Jan 1 2013,26.564714
8038,Annual growth %,Jan 1 2014,-0.297362
8039,Annual growth %,Jan 1 2015,-17.122909
8040,Annual growth %,Jan 1 2016,-11.018848
8041,Annual growth %,Jan 1 2017,-5.251198
8042,Annual growth %,Jan 1 2018,6.930621
8043,Annual growth %,Jan 1 2019,-1.20935
