,symbol,date,rate
8214,Annual growth %,Jan 1 1971,0.94875
8215,Annual growth %,Jan 1 1972,28.783243
8216,Annual growth %,Jan 1 1973,6.98718
8217,Annual growth %,Jan 1 1974,14.437972
8218,Annual growth %,Jan 1 1975,23.801592
8219,Annual growth %,Jan 1 1976,4.378161
8220,Annual growth %,Jan 1 1977,-54.59156
8221,Annual growth %,Jan 1 1978,1.171789
8222,Annual growth %,Jan 1 1979,-6.144546
8223,Annual growth %,Jan 1 1980,4.125263
8224,Annual growth %,Jan 1 1981,12.210607
8225,Annual growth %,Jan 1 1982,7.515596
8226,Annual growth %,Jan 1 1983,-8.259518
8227,Annual growth %,Jan 1 1984,7.053846
8228,Annual growth %,Jan 1 1985,12.417402
8229,Annual growth %,Jan 1 1986,-1.481016
8230,Annual growth %,Jan 1 1987,10.746111
8231,Annual growth %,Jan 1 1988,0.853578
8232,Annual growth %,Jan 1 1989,1.875705
8233,Annual growth %,Jan 1 1990,0.786097
8234,Annual growth %,Jan 1 1991,-38.654479
8235,Annual growth %,Jan 1 1992,-5.277737
8236,Annual growth %,Jan 1 1993,70.363398
8237,Annual growth %,Jan 1 1994,12.16307
8238,Annual growth %,Jan 1 1995,-1.944053
8239,Annual growth %,Jan 1 1996,9.502738
8240,Annual growth %,Jan 1 1997,13.843028
8241,Annual growth %,Jan 1 1998,25.241647
8242,Annual growth %,Jan 1 1999,-4.80232
8243,Annual growth %,Jan 1 2000,3.881209
8244,Annual growth %,Jan 1 2001,-38.694356
8245,Annual growth %,Jan 1 2002,-9.504708
8246,Annual growth %,Jan 1 2003,20.426873
8247,Annual growth %,Jan 1 2004,26.770719
8248,Annual growth %,Jan 1 2005,13.147618
8249,Annual growth %,Jan 1 2006,0.175534
8250,Annual growth %,Jan 1 2007,0.925635
8251,Annual growth %,Jan 1 2008,1.800344
8252,Annual growth %,Jan 1 2009,-53.363797
8253,Annual growth %,Jan 1 2010,-14.716601
8254,Annual growth %,Jan 1 2011,1.176381
8255,Annual growth %,Jan 1 2012,30.17631
8256,Annual growth %,Jan 1 2013,12.90502
8257,Annual growth %,Jan 1 2014,-8.838941
8258,Annual growth %,Jan 1 2015,-14.275606
8259,Annual growth %,Jan 1 2016,-2.675596
8260,Annual growth %,Jan 1 2017,4.258007
8261,Annual growth %,Jan 1 2018,-3.258475
8262,Annual growth %,Jan 1 2019,1.747143
