,symbol,date,rate
8323,Annual growth %,Jan 1 1971,12.450067
8324,Annual growth %,Jan 1 1972,25.400266
8325,Annual growth %,Jan 1 1973,31.463855
8326,Annual growth %,Jan 1 1974,22.258598
8327,Annual growth %,Jan 1 1975,16.662272
8328,Annual growth %,Jan 1 1976,2.126453
8329,Annual growth %,Jan 1 1977,10.564832
8330,Annual growth %,Jan 1 1978,20.045543
8331,Annual growth %,Jan 1 1979,32.372725
8332,Annual growth %,Jan 1 1980,7.56708
8333,Annual growth %,Jan 1 1981,-13.486126
8334,Annual growth %,Jan 1 1982,-3.960846
8335,Annual growth %,Jan 1 1983,-13.248399
8336,Annual growth %,Jan 1 1984,0.225676
8337,Annual growth %,Jan 1 1985,4.651225
8338,Annual growth %,Jan 1 1986,38.571243
8339,Annual growth %,Jan 1 1987,26.504858
8340,Annual growth %,Jan 1 1988,17.760492
8341,Annual growth %,Jan 1 1989,10.041114
8342,Annual growth %,Jan 1 1990,29.075956
8343,Annual growth %,Jan 1 1991,7.306385
8344,Annual growth %,Jan 1 1992,9.004493
8345,Annual growth %,Jan 1 1993,-17.027515
8346,Annual growth %,Jan 1 1994,0.716138
8347,Annual growth %,Jan 1 1995,15.471337
8348,Annual growth %,Jan 1 1996,4.240165
8349,Annual growth %,Jan 1 1997,-8.463723
8350,Annual growth %,Jan 1 1998,4.501457
8351,Annual growth %,Jan 1 1999,1.854099
8352,Annual growth %,Jan 1 2000,-6.808409
8353,Annual growth %,Jan 1 2001,3.835669
8354,Annual growth %,Jan 1 2002,10.84772
8355,Annual growth %,Jan 1 2003,26.316402
8356,Annual growth %,Jan 1 2004,15.91916
8357,Annual growth %,Jan 1 2005,6.324904
8358,Annual growth %,Jan 1 2006,7.461381
8359,Annual growth %,Jan 1 2007,15.094131
8360,Annual growth %,Jan 1 2008,8.87602
8361,Annual growth %,Jan 1 2009,-9.610986
8362,Annual growth %,Jan 1 2010,-5.06836
8363,Annual growth %,Jan 1 2011,3.747282
8364,Annual growth %,Jan 1 2012,-10.370526
8365,Annual growth %,Jan 1 2013,2.548452
8366,Annual growth %,Jan 1 2014,1.410553
8367,Annual growth %,Jan 1 2015,-12.528511
8368,Annual growth %,Jan 1 2016,3.175838
8369,Annual growth %,Jan 1 2017,6.50036
8370,Annual growth %,Jan 1 2018,8.245915
8371,Annual growth %,Jan 1 2019,-2.107561
