,symbol,date,rate
8432,Annual growth %,Jan 1 1971,5.292949
8433,Annual growth %,Jan 1 1972,20.215491
8434,Annual growth %,Jan 1 1973,24.742457
8435,Annual growth %,Jan 1 1974,18.055597
8436,Annual growth %,Jan 1 1975,20.735656
8437,Annual growth %,Jan 1 1976,20.697903
8438,Annual growth %,Jan 1 1977,13.678069
8439,Annual growth %,Jan 1 1978,4.055494
8440,Annual growth %,Jan 1 1979,6.793333
8441,Annual growth %,Jan 1 1980,8.961404
8442,Annual growth %,Jan 1 1981,16.470747
8443,Annual growth %,Jan 1 1982,-26.867496
8444,Annual growth %,Jan 1 1983,-12.859095
8445,Annual growth %,Jan 1 1984,30.606197
8446,Annual growth %,Jan 1 1985,-9.030221
8447,Annual growth %,Jan 1 1986,31.701482
8448,Annual growth %,Jan 1 1987,25.984333
8449,Annual growth %,Jan 1 1988,-3.266361
8450,Annual growth %,Jan 1 1989,-4.262029
8451,Annual growth %,Jan 1 1990,8.699249
8452,Annual growth %,Jan 1 1991,-12.703374
8453,Annual growth %,Jan 1 1992,4.218375
8454,Annual growth %,Jan 1 1993,0.743501
8455,Annual growth %,Jan 1 1994,-7.597925
8456,Annual growth %,Jan 1 1995,5.278654
8457,Annual growth %,Jan 1 1996,-36.513551
8458,Annual growth %,Jan 1 1997,18.992861
8459,Annual growth %,Jan 1 1998,3.80088
8460,Annual growth %,Jan 1 1999,-4.581299
8461,Annual growth %,Jan 1 2000,18.857105
8462,Annual growth %,Jan 1 2001,16.750642
8463,Annual growth %,Jan 1 2002,12.226574
8464,Annual growth %,Jan 1 2003,14.498175
8465,Annual growth %,Jan 1 2004,21.336428
8466,Annual growth %,Jan 1 2005,28.407756
8467,Annual growth %,Jan 1 2006,25.129911
8468,Annual growth %,Jan 1 2007,27.748065
