,symbol,date,price
8567,Annual growth %,Jan 1 1971,19.160661
8568,Annual growth %,Jan 1 1972,21.701994
8569,Annual growth %,Jan 1 1973,33.600145
8570,Annual growth %,Jan 1 1974,14.708943
8571,Annual growth %,Jan 1 1975,14.372817
8572,Annual growth %,Jan 1 1976,4.613408
8573,Annual growth %,Jan 1 1977,7.044032
8574,Annual growth %,Jan 1 1978,40.288373
8575,Annual growth %,Jan 1 1979,12.677071
8576,Annual growth %,Jan 1 1980,6.653133
8577,Annual growth %,Jan 1 1981,-8.592232
8578,Annual growth %,Jan 1 1982,2.083498
8579,Annual growth %,Jan 1 1983,-0.912617
8580,Annual growth %,Jan 1 1984,-5.103329
8581,Annual growth %,Jan 1 1985,0.772491
8582,Annual growth %,Jan 1 1986,42.516687
8583,Annual growth %,Jan 1 1987,24.514564
8584,Annual growth %,Jan 1 1988,7.520069
8585,Annual growth %,Jan 1 1989,-4.133464
8586,Annual growth %,Jan 1 1990,26.646377
8587,Annual growth %,Jan 1 1991,0.18506
8588,Annual growth %,Jan 1 1992,2.960902
8589,Annual growth %,Jan 1 1993,-3.821264
8590,Annual growth %,Jan 1 1994,9.596194
8591,Annual growth %,Jan 1 1995,19.685982
8592,Annual growth %,Jan 1 1996,-4.171066
8593,Annual growth %,Jan 1 1997,-13.693497
8594,Annual growth %,Jan 1 1998,2.630799
8595,Annual growth %,Jan 1 1999,-2.081729
8596,Annual growth %,Jan 1 2000,-6.639505
8597,Annual growth %,Jan 1 2001,2.134574
8598,Annual growth %,Jan 1 2002,7.374064
8599,Annual growth %,Jan 1 2003,16.282918
8600,Annual growth %,Jan 1 2004,10.848875
8601,Annual growth %,Jan 1 2005,2.818238
8602,Annual growth %,Jan 1 2006,4.517964
8603,Annual growth %,Jan 1 2007,10.047635
8604,Annual growth %,Jan 1 2008,14.250977
8605,Annual growth %,Jan 1 2009,-3.282661
8606,Annual growth %,Jan 1 2010,6.795656
8607,Annual growth %,Jan 1 2011,18.166975
8608,Annual growth %,Jan 1 2012,-5.354207
8609,Annual growth %,Jan 1 2013,1.700971
8610,Annual growth %,Jan 1 2014,1.817802
8611,Annual growth %,Jan 1 2015,-5.436989
8612,Annual growth %,Jan 1 2016,-1.915601
8613,Annual growth %,Jan 1 2017,0.367379
8614,Annual growth %,Jan 1 2018,3.603416
8615,Annual growth %,Jan 1 2019,-1.367284
