,symbol,date,rate
8694,Annual growth %,Jan 1 1971,1.134846
8695,Annual growth %,Jan 1 1972,7.749666
8696,Annual growth %,Jan 1 1973,28.926127
8697,Annual growth %,Jan 1 1974,23.075952
8698,Annual growth %,Jan 1 1975,5.858091
8699,Annual growth %,Jan 1 1976,11.359721
8700,Annual growth %,Jan 1 1977,13.755648
8701,Annual growth %,Jan 1 1978,18.678089
8702,Annual growth %,Jan 1 1979,11.574274
8703,Annual growth %,Jan 1 1980,15.087572
8704,Annual growth %,Jan 1 1981,5.582759
8705,Annual growth %,Jan 1 1982,3.022326
8706,Annual growth %,Jan 1 1983,7.434782
8707,Annual growth %,Jan 1 1984,2.501023
8708,Annual growth %,Jan 1 1985,-8.598487
8709,Annual growth %,Jan 1 1986,8.79379
8710,Annual growth %,Jan 1 1987,15.161093
8711,Annual growth %,Jan 1 1988,19.925502
8712,Annual growth %,Jan 1 1989,15.312744
8713,Annual growth %,Jan 1 1990,16.503031
8714,Annual growth %,Jan 1 1991,13.105861
8715,Annual growth %,Jan 1 1992,13.011718
8716,Annual growth %,Jan 1 1993,10.51089
8717,Annual growth %,Jan 1 1994,12.76707
8718,Annual growth %,Jan 1 1995,14.255117
8719,Annual growth %,Jan 1 1996,6.93437
8720,Annual growth %,Jan 1 1997,-18.916019
8721,Annual growth %,Jan 1 1998,-25.215027
8722,Annual growth %,Jan 1 1999,10.154291
8723,Annual growth %,Jan 1 2000,-1.255388
8724,Annual growth %,Jan 1 2001,-5.701497
8725,Annual growth %,Jan 1 2002,10.718249
8726,Annual growth %,Jan 1 2003,12.543102
8727,Annual growth %,Jan 1 2004,12.759412
8728,Annual growth %,Jan 1 2005,8.794172
8729,Annual growth %,Jan 1 2006,16.429675
8730,Annual growth %,Jan 1 2007,17.909653
8731,Annual growth %,Jan 1 2008,10.234993
8732,Annual growth %,Jan 1 2009,-3.805096
8733,Annual growth %,Jan 1 2010,20.492003
8734,Annual growth %,Jan 1 2011,8.190497
8735,Annual growth %,Jan 1 2012,6.709061
8736,Annual growth %,Jan 1 2013,5.250057
8737,Annual growth %,Jan 1 2014,-3.50814
8738,Annual growth %,Jan 1 2015,-1.878961
8739,Annual growth %,Jan 1 2016,2.372801
8740,Annual growth %,Jan 1 2017,10.028651
8741,Annual growth %,Jan 1 2018,10.5709
8742,Annual growth %,Jan 1 2019,7.027836
