,symbol,date,rate
8772,Annual growth %,Jan 1 1971,9.078775
8773,Annual growth %,Jan 1 1972,13.239653
8774,Annual growth %,Jan 1 1973,13.905721
8775,Annual growth %,Jan 1 1974,30.803388
8776,Annual growth %,Jan 1 1975,7.846467
8777,Annual growth %,Jan 1 1976,-6.799804
8778,Annual growth %,Jan 1 1977,17.859372
8779,Annual growth %,Jan 1 1978,21.110232
8780,Annual growth %,Jan 1 1979,16.41517
8781,Annual growth %,Jan 1 1980,8.030369
8782,Annual growth %,Jan 1 1981,-18.752101
8783,Annual growth %,Jan 1 1982,-16.620913
8784,Annual growth %,Jan 1 1983,-13.366325
8785,Annual growth %,Jan 1 1984,-8.931327
8786,Annual growth %,Jan 1 1985,2.441946
8787,Annual growth %,Jan 1 1986,37.222055
8788,Annual growth %,Jan 1 1987,14.052008
8789,Annual growth %,Jan 1 1988,17.6341
8790,Annual growth %,Jan 1 1989,-4.578367
8791,Annual growth %,Jan 1 1990,17.367099
8792,Annual growth %,Jan 1 1991,-3.464496
8793,Annual growth %,Jan 1 1992,2.662269
8794,Annual growth %,Jan 1 1993,-25.353615
8795,Annual growth %,Jan 1 1994,-24.214821
8796,Annual growth %,Jan 1 1995,28.76665
8797,Annual growth %,Jan 1 1996,6.221388
8798,Annual growth %,Jan 1 1997,-1.275748
8799,Annual growth %,Jan 1 1998,-8.350989
8800,Annual growth %,Jan 1 1999,-2.918978
8801,Annual growth %,Jan 1 2000,-17.681316
8802,Annual growth %,Jan 1 2001,-3.189558
8803,Annual growth %,Jan 1 2002,11.719777
8804,Annual growth %,Jan 1 2003,21.163608
8805,Annual growth %,Jan 1 2004,4.181337
8806,Annual growth %,Jan 1 2005,-1.499909
8807,Annual growth %,Jan 1 2006,0.318349
8808,Annual growth %,Jan 1 2007,10.166814
8809,Annual growth %,Jan 1 2008,21.152075
8810,Annual growth %,Jan 1 2009,-1.048542
8811,Annual growth %,Jan 1 2010,-0.916198
8812,Annual growth %,Jan 1 2011,15.455107
8813,Annual growth %,Jan 1 2012,2.458067
8814,Annual growth %,Jan 1 2013,14.126485
8815,Annual growth %,Jan 1 2014,8.248946
8816,Annual growth %,Jan 1 2015,-6.374211
8817,Annual growth %,Jan 1 2016,10.02497
8818,Annual growth %,Jan 1 2017,3.435644
8819,Annual growth %,Jan 1 2018,8.830667
8820,Annual growth %,Jan 1 2019,-0.510453
