,symbol,date,rate
8870,Annual growth %,Jan 1 1971,7.910545
8871,Annual growth %,Jan 1 1972,19.293026
8872,Annual growth %,Jan 1 1973,19.059829
8873,Annual growth %,Jan 1 1974,53.777937
8874,Annual growth %,Jan 1 1975,17.901727
8875,Annual growth %,Jan 1 1976,0.959504
8876,Annual growth %,Jan 1 1977,23.814748
8877,Annual growth %,Jan 1 1978,11.955092
8878,Annual growth %,Jan 1 1979,27.369648
8879,Annual growth %,Jan 1 1980,33.476519
8880,Annual growth %,Jan 1 1981,10.373409
8881,Annual growth %,Jan 1 1982,14.548434
8882,Annual growth %,Jan 1 1983,-6.139832
8883,Annual growth %,Jan 1 1984,-1.556632
8884,Annual growth %,Jan 1 1985,-6.149668
8885,Annual growth %,Jan 1 1986,-35.718021
8886,Annual growth %,Jan 1 1987,-0.865375
8887,Annual growth %,Jan 1 1988,-7.01915
8888,Annual growth %,Jan 1 1989,-4.555926
8889,Annual growth %,Jan 1 1990,16.438912
8890,Annual growth %,Jan 1 1991,4.054999
8891,Annual growth %,Jan 1 1992,1.849829
8892,Annual growth %,Jan 1 1993,-16.329092
8893,Annual growth %,Jan 1 1994,7.582506
8894,Annual growth %,Jan 1 1995,7.318905
8895,Annual growth %,Jan 1 1996,7.789112
8896,Annual growth %,Jan 1 1997,-0.560598
8897,Annual growth %,Jan 1 1998,5.176541
8898,Annual growth %,Jan 1 1999,12.462973
8899,Annual growth %,Jan 1 2000,19.45526
8900,Annual growth %,Jan 1 2001,7.840491
8901,Annual growth %,Jan 1 2002,1.633086
8902,Annual growth %,Jan 1 2003,24.880029
8903,Annual growth %,Jan 1 2004,16.870359
8904,Annual growth %,Jan 1 2005,19.75448
8905,Annual growth %,Jan 1 2006,14.398782
8906,Annual growth %,Jan 1 2007,17.288487
8907,Annual growth %,Jan 1 2008,28.189102
8908,Annual growth %,Jan 1 2009,-31.535996
8909,Annual growth %,Jan 1 2010,14.746118
8910,Annual growth %,Jan 1 2011,14.271314
8911,Annual growth %,Jan 1 2012,0.377536
8912,Annual growth %,Jan 1 2013,5.147585
8913,Annual growth %,Jan 1 2014,0.632015
8914,Annual growth %,Jan 1 2015,-10.144748
8915,Annual growth %,Jan 1 2016,-10.781009
8916,Annual growth %,Jan 1 2017,-0.474245
8917,Annual growth %,Jan 1 2018,5.344555
8918,Annual growth %,Jan 1 2019,-2.352349
