,symbol,date,rate
8968,Annual growth %,Jan 1 1971,-8.0484
8969,Annual growth %,Jan 1 1972,22.74058
8970,Annual growth %,Jan 1 1973,22.744987
8971,Annual growth %,Jan 1 1974,34.552301
8972,Annual growth %,Jan 1 1975,22.100972
8973,Annual growth %,Jan 1 1976,11.892543
8974,Annual growth %,Jan 1 1977,11.466038
8975,Annual growth %,Jan 1 1978,7.925874
8976,Annual growth %,Jan 1 1979,33.496811
8977,Annual growth %,Jan 1 1980,-26.695519
8978,Annual growth %,Jan 1 1981,0.939891
8979,Annual growth %,Jan 1 1982,-11.185519
8980,Annual growth %,Jan 1 1983,-6.568545
8981,Annual growth %,Jan 1 1984,-4.843004
8982,Annual growth %,Jan 1 1985,9.749723
8983,Annual growth %,Jan 1 1986,10.396865
8984,Annual growth %,Jan 1 1987,12.917412
8985,Annual growth %,Jan 1 1988,2.31983
8986,Annual growth %,Jan 1 1989,15.841258
8987,Annual growth %,Jan 1 1990,38.206751
8988,Annual growth %,Jan 1 1991,-1.437215
8989,Annual growth %,Jan 1 1992,3.615847
8990,Annual growth %,Jan 1 1993,11.593859
8991,Annual growth %,Jan 1 1994,-28.730611
8992,Annual growth %,Jan 1 1995,27.552239
8993,Annual growth %,Jan 1 1996,5.483398
8994,Annual growth %,Jan 1 1997,2.991294
8995,Annual growth %,Jan 1 1998,3.846051
8996,Annual growth %,Jan 1 1999,-8.511959
8997,Annual growth %,Jan 1 2000,5.369134
8998,Annual growth %,Jan 1 2001,-27.537513
8999,Annual growth %,Jan 1 2002,17.338458
9000,Annual growth %,Jan 1 2003,29.075156
9001,Annual growth %,Jan 1 2004,28.178135
9002,Annual growth %,Jan 1 2005,22.206381
9003,Annual growth %,Jan 1 2006,8.660118
9004,Annual growth %,Jan 1 2007,20.852935
9005,Annual growth %,Jan 1 2008,11.737958
9006,Annual growth %,Jan 1 2009,-16.792626
9007,Annual growth %,Jan 1 2010,18.000535
9008,Annual growth %,Jan 1 2011,6.3155
9009,Annual growth %,Jan 1 2012,3.281368
9010,Annual growth %,Jan 1 2013,6.946338
9011,Annual growth %,Jan 1 2014,-3.624537
9012,Annual growth %,Jan 1 2015,-9.471404
9013,Annual growth %,Jan 1 2016,-1.015496
9014,Annual growth %,Jan 1 2017,-2.798707
9015,Annual growth %,Jan 1 2018,-10.730539
9016,Annual growth %,Jan 1 2019,-3.455872
