,symbol,date,rate
9095,Annual growth %,Jan 1 1971,5.721806
9096,Annual growth %,Jan 1 1972,9.746376
9097,Annual growth %,Jan 1 1973,24.259678
9098,Annual growth %,Jan 1 1974,4.583791
9099,Annual growth %,Jan 1 1975,-6.582666
9100,Annual growth %,Jan 1 1976,-5.407306
9101,Annual growth %,Jan 1 1977,-11.211273
9102,Annual growth %,Jan 1 1978,3.019369
9103,Annual growth %,Jan 1 1979,-1.08171
9104,Annual growth %,Jan 1 1980,3.527582
9105,Annual growth %,Jan 1 1981,7.229487
9106,Annual growth %,Jan 1 1982,-21.12926
9107,Annual growth %,Jan 1 1983,4.429776
9108,Annual growth %,Jan 1 1984,7.665618
9109,Annual growth %,Jan 1 1985,-20.043954
9110,Annual growth %,Jan 1 1986,22.568835
9111,Annual growth %,Jan 1 1987,19.371435
9112,Annual growth %,Jan 1 1988,39.223054
9113,Annual growth %,Jan 1 1989,7.296052
9114,Annual growth %,Jan 1 1990,14.477603
9115,Annual growth %,Jan 1 1991,5.023786
9116,Annual growth %,Jan 1 1992,4.561498
9117,Annual growth %,Jan 1 1993,-11.353414
9118,Annual growth %,Jan 1 1994,18.561508
9119,Annual growth %,Jan 1 1995,2.415594
9120,Annual growth %,Jan 1 1996,5.927253
9121,Annual growth %,Jan 1 1997,7.238807
9122,Annual growth %,Jan 1 1998,-3.199943
9123,Annual growth %,Jan 1 1999,6.010491
9124,Annual growth %,Jan 1 2000,-0.136642
9125,Annual growth %,Jan 1 2001,-4.925664
9126,Annual growth %,Jan 1 2002,15.619629
9127,Annual growth %,Jan 1 2003,16.598038
9128,Annual growth %,Jan 1 2004,16.106291
9129,Annual growth %,Jan 1 2005,-1.075514
9130,Annual growth %,Jan 1 2006,4.346749
9131,Annual growth %,Jan 1 2007,16.841495
9132,Annual growth %,Jan 1 2008,10.065222
9133,Annual growth %,Jan 1 2009,-11.210772
9134,Annual growth %,Jan 1 2010,15.427463
9135,Annual growth %,Jan 1 2011,20.659991
9136,Annual growth %,Jan 1 2012,-3.708542
9137,Annual growth %,Jan 1 2013,-1.334763
9138,Annual growth %,Jan 1 2014,-1.915283
9139,Annual growth %,Jan 1 2015,-5.832895
9140,Annual growth %,Jan 1 2016,11.597173
9141,Annual growth %,Jan 1 2017,9.626843
9142,Annual growth %,Jan 1 2018,3.58568
9143,Annual growth %,Jan 1 2019,0.884355
