,symbol,date,rate
9193,Annual growth %,Jan 1 1991,-5.607722
9194,Annual growth %,Jan 1 1992,-7.812899
9195,Annual growth %,Jan 1 1993,-12.018552
9196,Annual growth %,Jan 1 1994,-21.029497
9197,Annual growth %,Jan 1 1995,-9.878631
9198,Annual growth %,Jan 1 1996,-7.810958
9199,Annual growth %,Jan 1 1997,13.433024
9200,Annual growth %,Jan 1 1998,-15.748107
9201,Annual growth %,Jan 1 1999,-23.896764
9202,Annual growth %,Jan 1 2000,-0.09702
9203,Annual growth %,Jan 1 2001,22.512683
9204,Annual growth %,Jan 1 2002,12.804313
9205,Annual growth %,Jan 1 2003,19.311886
9206,Annual growth %,Jan 1 2004,30.238364
9207,Annual growth %,Jan 1 2005,33.685661
9208,Annual growth %,Jan 1 2006,26.13901
9209,Annual growth %,Jan 1 2007,33.625961
9210,Annual growth %,Jan 1 2008,27.043416
9211,Annual growth %,Jan 1 2009,-35.118607
9212,Annual growth %,Jan 1 2010,12.333438
9213,Annual growth %,Jan 1 2011,20.412828
9214,Annual growth %,Jan 1 2012,8.128447
9215,Annual growth %,Jan 1 2013,4.667559
9216,Annual growth %,Jan 1 2014,-26.887244
9217,Annual growth %,Jan 1 2015,-31.525747
9218,Annual growth %,Jan 1 2016,3.030884
9219,Annual growth %,Jan 1 2017,20.785383
9220,Annual growth %,Jan 1 2018,17.315396
9221,Annual growth %,Jan 1 2019,18.152466
