,symbol,date,price
9418,Annual growth %,Jan 1 1971,19.771312
9419,Annual growth %,Jan 1 1972,-19.722363
9420,Annual growth %,Jan 1 1973,27.667908
9421,Annual growth %,Jan 1 1974,38.433444
9422,Annual growth %,Jan 1 1975,-11.948202
9423,Annual growth %,Jan 1 1976,4.364042
9424,Annual growth %,Jan 1 1977,11.38521
9425,Annual growth %,Jan 1 1978,19.031051
9426,Annual growth %,Jan 1 1979,42.180563
9427,Annual growth %,Jan 1 1980,37.306417
9428,Annual growth %,Jan 1 1981,10.901323
9429,Annual growth %,Jan 1 1982,-18.649724
9430,Annual growth %,Jan 1 1983,-42.44138
9431,Annual growth %,Jan 1 1984,-5.586571
9432,Annual growth %,Jan 1 1985,-3.042522
9433,Annual growth %,Jan 1 1986,23.485839
9434,Annual growth %,Jan 1 1987,24.513194
9435,Annual growth %,Jan 1 1988,2.548197
9436,Annual growth %,Jan 1 1989,1.814654
9437,Annual growth %,Jan 1 1990,6.66286
9438,Annual growth %,Jan 1 1991,19.245382
9439,Annual growth %,Jan 1 1992,27.253327
9440,Annual growth %,Jan 1 1993,15.639826
9441,Annual growth %,Jan 1 1994,15.628105
9442,Annual growth %,Jan 1 1995,9.641089
9443,Annual growth %,Jan 1 1996,5.554353
9444,Annual growth %,Jan 1 1997,5.056452
9445,Annual growth %,Jan 1 1998,5.235851
9446,Annual growth %,Jan 1 1999,-6.006931
9447,Annual growth %,Jan 1 2000,-5.175487
9448,Annual growth %,Jan 1 2001,-8.590123
9449,Annual growth %,Jan 1 2002,-34.904341
9450,Annual growth %,Jan 1 2003,-11.408182
9451,Annual growth %,Jan 1 2004,13.695835
9452,Annual growth %,Jan 1 2005,26.849752
9453,Annual growth %,Jan 1 2006,12.644607
9454,Annual growth %,Jan 1 2007,19.338994
9455,Annual growth %,Jan 1 2008,29.382488
9456,Annual growth %,Jan 1 2009,3.969393
9457,Annual growth %,Jan 1 2010,26.873924
9458,Annual growth %,Jan 1 2011,18.7177
9459,Annual growth %,Jan 1 2012,6.567075
9460,Annual growth %,Jan 1 2013,11.877752
9461,Annual growth %,Jan 1 2014,-0.834862
9462,Annual growth %,Jan 1 2015,-7.237201
9463,Annual growth %,Jan 1 2016,-1.451447
9464,Annual growth %,Jan 1 2017,12.57552
9465,Annual growth %,Jan 1 2018,-0.254639
9466,Annual growth %,Jan 1 2019,-6.296569
