,symbol,date,rate
9516,Annual growth %,Jan 1 1971,4.80912
9517,Annual growth %,Jan 1 1972,28.782367
9518,Annual growth %,Jan 1 1973,18.166581
9519,Annual growth %,Jan 1 1974,-3.400763
9520,Annual growth %,Jan 1 1975,17.238761
9521,Annual growth %,Jan 1 1976,-6.363828
9522,Annual growth %,Jan 1 1977,1.607015
9523,Annual growth %,Jan 1 1978,18.462341
9524,Annual growth %,Jan 1 1979,27.921298
9525,Annual growth %,Jan 1 1980,-7.399587
9526,Annual growth %,Jan 1 1981,-15.098044
9527,Annual growth %,Jan 1 1982,-2.954312
9528,Annual growth %,Jan 1 1983,4.256389
9529,Annual growth %,Jan 1 1984,19.009938
9530,Annual growth %,Jan 1 1985,-7.079172
9531,Annual growth %,Jan 1 1986,-5.07171
9532,Annual growth %,Jan 1 1987,3.869174
9533,Annual growth %,Jan 1 1988,15.030384
9534,Annual growth %,Jan 1 1989,-4.333191
9535,Annual growth %,Jan 1 1990,5.72203
9536,Annual growth %,Jan 1 1991,15.826258
9537,Annual growth %,Jan 1 1992,1.317401
9538,Annual growth %,Jan 1 1993,0.006207
9539,Annual growth %,Jan 1 1994,6.709014
9540,Annual growth %,Jan 1 1995,10.655453
9541,Annual growth %,Jan 1 1996,1.773159
9542,Annual growth %,Jan 1 1997,-1.156815
9543,Annual growth %,Jan 1 1998,-10.490714
9544,Annual growth %,Jan 1 1999,0.145487
9545,Annual growth %,Jan 1 2000,-2.015274
9546,Annual growth %,Jan 1 2001,-5.93966
9547,Annual growth %,Jan 1 2002,1.119862
9548,Annual growth %,Jan 1 2003,15.998589
9549,Annual growth %,Jan 1 2004,13.134147
9550,Annual growth %,Jan 1 2005,5.544407
9551,Annual growth %,Jan 1 2006,8.604811
9552,Annual growth %,Jan 1 2007,17.027287
9553,Annual growth %,Jan 1 2008,12.798479
9554,Annual growth %,Jan 1 2009,-2.069089
9555,Annual growth %,Jan 1 2010,11.973004
9556,Annual growth %,Jan 1 2011,10.033589
9557,Annual growth %,Jan 1 2012,-4.026543
9558,Annual growth %,Jan 1 2013,-0.282696
9559,Annual growth %,Jan 1 2014,-1.151941
9560,Annual growth %,Jan 1 2015,-9.270849
9561,Annual growth %,Jan 1 2016,3.137085
9562,Annual growth %,Jan 1 2017,6.66238
9563,Annual growth %,Jan 1 2018,1.39142
9564,Annual growth %,Jan 1 2019,-3.258855
