,symbol,date,price
9565,Annual growth %,Jan 1 1971,6.565151
9566,Annual growth %,Jan 1 1972,6.932812
9567,Annual growth %,Jan 1 1973,15.701701
9568,Annual growth %,Jan 1 1974,48.872059
9569,Annual growth %,Jan 1 1975,2.252593
9570,Annual growth %,Jan 1 1976,11.174142
9571,Annual growth %,Jan 1 1977,12.012379
9572,Annual growth %,Jan 1 1978,5.550372
9573,Annual growth %,Jan 1 1979,19.495762
9574,Annual growth %,Jan 1 1980,19.05148
9575,Annual growth %,Jan 1 1981,9.210695
9576,Annual growth %,Jan 1 1982,-0.551073
9577,Annual growth %,Jan 1 1983,-2.847603
9578,Annual growth %,Jan 1 1984,-28.568014
9579,Annual growth %,Jan 1 1985,0.857591
9580,Annual growth %,Jan 1 1986,-4.825435
9581,Annual growth %,Jan 1 1987,-22.639836
9582,Annual growth %,Jan 1 1988,22.27003
9583,Annual growth %,Jan 1 1989,-30.634427
9584,Annual growth %,Jan 1 1990,10.816131
9585,Annual growth %,Jan 1 1991,7.433591
9586,Annual growth %,Jan 1 1992,10.489832
9587,Annual growth %,Jan 1 1993,-2.798694
9588,Annual growth %,Jan 1 1994,-3.705427
9589,Annual growth %,Jan 1 1995,28.282208
9590,Annual growth %,Jan 1 1996,-10.708194
9591,Annual growth %,Jan 1 1997,23.26958
9592,Annual growth %,Jan 1 1998,4.346504
9593,Annual growth %,Jan 1 1999,5.226399
9594,Annual growth %,Jan 1 2000,17.333372
9595,Annual growth %,Jan 1 2001,2.988014
9596,Annual growth %,Jan 1 2002,-25.79222
9597,Annual growth %,Jan 1 2003,-11.664675
9598,Annual growth %,Jan 1 2004,32.320842
9599,Annual growth %,Jan 1 2005,27.267614
9600,Annual growth %,Jan 1 2006,24.12779
9601,Annual growth %,Jan 1 2007,23.723288
9602,Annual growth %,Jan 1 2008,35.076045
9603,Annual growth %,Jan 1 2009,2.907067
9604,Annual growth %,Jan 1 2010,17.826541
9605,Annual growth %,Jan 1 2011,-20.880899
9606,Annual growth %,Jan 1 2012,18.535321
9607,Annual growth %,Jan 1 2013,-3.983141
9608,Annual growth %,Jan 1 2014,-2.969503
9609,Annual growth %,Jan 1 2015,-5.450907
9610,Annual growth %,Jan 1 2016,-15.522376
9611,Annual growth %,Jan 1 2017,-12.774659
9612,Annual growth %,Jan 1 2018,-16.223141
9613,Annual growth %,Jan 1 2019,-32.97821
