,symbol,date,rate
9797,Annual growth %,Jan 1 1971,11.668074
9798,Annual growth %,Jan 1 1972,19.207936
9799,Annual growth %,Jan 1 1973,18.732589
9800,Annual growth %,Jan 1 1974,16.230217
9801,Annual growth %,Jan 1 1975,6.13035
9802,Annual growth %,Jan 1 1976,-4.341158
9803,Annual growth %,Jan 1 1977,-2.167791
9804,Annual growth %,Jan 1 1978,-3.083512
9805,Annual growth %,Jan 1 1979,14.813001
9806,Annual growth %,Jan 1 1980,24.272645
9807,Annual growth %,Jan 1 1981,16.126491
9808,Annual growth %,Jan 1 1982,2.808726
9809,Annual growth %,Jan 1 1983,-12.348601
9810,Annual growth %,Jan 1 1984,-21.123511
9811,Annual growth %,Jan 1 1985,6.767025
9812,Annual growth %,Jan 1 1986,6.411861
9813,Annual growth %,Jan 1 1987,4.701493
9814,Annual growth %,Jan 1 1988,12.13065
9815,Annual growth %,Jan 1 1989,2.578472
9816,Annual growth %,Jan 1 1990,3.263226
9817,Annual growth %,Jan 1 1991,-8.865058
9818,Annual growth %,Jan 1 1992,-19.197125
9819,Annual growth %,Jan 1 1993,-4.544813
9820,Annual growth %,Jan 1 1994,3.56283
9821,Annual growth %,Jan 1 1995,2.465404
9822,Annual growth %,Jan 1 1996,20.345079
9823,Annual growth %,Jan 1 1997,1.890307
9824,Annual growth %,Jan 1 1998,-30.502797
9825,Annual growth %,Jan 1 1999,-5.560649
9826,Annual growth %,Jan 1 2000,-5.93697
9827,Annual growth %,Jan 1 2001,-1.05663
9828,Annual growth %,Jan 1 2002,-5.365366
9829,Annual growth %,Jan 1 2003,-5.928136
9830,Annual growth %,Jan 1 2004,-4.563137
9831,Annual growth %,Jan 1 2005,-3.519095
9832,Annual growth %,Jan 1 2006,-2.584965
9833,Annual growth %,Jan 1 2007,-2.09496
9834,Annual growth %,Jan 1 2008,-9.679232
9835,Annual growth %,Jan 1 2009,50.469014
9836,Annual growth %,Jan 1 2010,22.904789
9837,Annual growth %,Jan 1 2011,15.323923
9838,Annual growth %,Jan 1 2012,19.32188
9839,Annual growth %,Jan 1 2013,9.581162
9840,Annual growth %,Jan 1 2014,0.34249
9841,Annual growth %,Jan 1 2015,0.709073
9842,Annual growth %,Jan 1 2016,1.350703
9843,Annual growth %,Jan 1 2017,5.707857
9844,Annual growth %,Jan 1 2018,8.757305
9845,Annual growth %,Jan 1 2019,-13.052876
