,symbol,date,price
2580,Food Indices,Jan 1 2000,0.595515
2581,Food Indices,Jan 1 2001,2.101883
2582,Food Indices,Jan 1 2002,4.923346
2583,Food Indices,Jan 1 2003,10.795028
2584,Food Indices,Jan 1 2004,19.234188
2585,Food Indices,Jan 1 2005,24.776786
2586,Food Indices,Jan 1 2006,30.269043
2587,Food Indices,Jan 1 2007,34.679749
2588,Food Indices,Jan 1 2008,39.970305
2589,Food Indices,Jan 1 2009,47.897165
2590,Food Indices,Jan 1 2010,56.177345
2591,Food Indices,Jan 1 2011,65.265089
2592,Food Indices,Jan 1 2012,74.522235
2593,Food Indices,Jan 1 2013,82.427529
2594,Food Indices,Jan 1 2014,89.66356
2595,Food Indices,Jan 1 2015,94.870572
2596,Food Indices,Jan 1 2016,108.488204
2597,Food Indices,Jan 1 2017,157.266651
2598,Food Indices,Jan 1 2018,185.737481
2599,Food Indices,Jan 1 2019,214.539828
2600,Food Indices,Jan 1 2020,257.200001
2601,Food Indices,Jan 1 2021,335.328437
2602,Food Indices,Feb 1 2000,0.711083
2603,Food Indices,Feb 1 2001,2.337005
2604,Food Indices,Feb 1 2002,5.210733
2605,Food Indices,Feb 1 2003,11.696689
2606,Food Indices,Feb 1 2004,20.044136
2607,Food Indices,Feb 1 2005,25.12589
2608,Food Indices,Feb 1 2006,30.481899
2609,Food Indices,Feb 1 2007,35.043708
2610,Food Indices,Feb 1 2008,40.702676
2611,Food Indices,Feb 1 2009,48.37814
2612,Food Indices,Feb 1 2010,56.905035
2613,Food Indices,Feb 1 2011,65.92479
2614,Food Indices,Feb 1 2012,75.043475
2615,Food Indices,Feb 1 2013,83.298338
2616,Food Indices,Feb 1 2014,90.098402
2617,Food Indices,Feb 1 2015,95.674161
2618,Food Indices,Feb 1 2016,113.004288
2619,Food Indices,Feb 1 2017,159.513911
2620,Food Indices,Feb 1 2018,187.236631
2621,Food Indices,Feb 1 2019,216.893259
2622,Food Indices,Feb 1 2020,262.614504
2623,Food Indices,Feb 1 2021,343.678116
2624,Food Indices,Mar 1 2000,0.82665
2625,Food Indices,Mar 1 2001,2.572127
2626,Food Indices,Mar 1 2002,5.394613
2627,Food Indices,Mar 1 2003,12.490793
2628,Food Indices,Mar 1 2004,20.631918
2629,Food Indices,Mar 1 2005,25.677127
2630,Food Indices,Mar 1 2006,30.806782
2631,Food Indices,Mar 1 2007,35.223116
2632,Food Indices,Mar 1 2008,41.14785
2633,Food Indices,Mar 1 2009,48.81573
2634,Food Indices,Mar 1 2010,57.496667
2635,Food Indices,Mar 1 2011,66.43193
2636,Food Indices,Mar 1 2012,75.594978
2637,Food Indices,Mar 1 2013,83.997112
2638,Food Indices,Mar 1 2014,90.491776
2639,Food Indices,Mar 1 2015,96.290567
2640,Food Indices,Mar 1 2016,117.241254
2641,Food Indices,Mar 1 2017,162.255519
2642,Food Indices,Mar 1 2018,189.601497
2643,Food Indices,Mar 1 2019,219.697893
2644,Food Indices,Mar 1 2020,269.074864
2645,Food Indices,Mar 1 2021,351.445241
2646,Food Indices,Apr 1 2000,0.942218
2647,Food Indices,Apr 1 2001,2.807249
2648,Food Indices,Apr 1 2002,5.750597
2649,Food Indices,Apr 1 2003,13.414403
2650,Food Indices,Apr 1 2004,21.107969
2651,Food Indices,Apr 1 2005,26.22879
2652,Food Indices,Apr 1 2006,31.042692
