,symbol,date,price
3612,Food Indices (2015=100),Jan 1 2000,62.626933
3613,Food Indices (2015=100),Jan 1 2001,63.593406
3614,Food Indices (2015=100),Jan 1 2002,65.119648
3615,Food Indices (2015=100),Jan 1 2003,63.669718
3616,Food Indices (2015=100),Jan 1 2004,65.526646
3617,Food Indices (2015=100),Jan 1 2005,66.372438
3618,Food Indices (2015=100),Jan 1 2006,67.987711
3619,Food Indices (2015=100),Jan 1 2007,69.037002
3620,Food Indices (2015=100),Jan 1 2008,73.851023
3621,Food Indices (2015=100),Jan 1 2009,79.224665
3622,Food Indices (2015=100),Jan 1 2010,83.555376
3623,Food Indices (2015=100),Jan 1 2011,88.566537
3624,Food Indices (2015=100),Jan 1 2012,92.642874
3625,Food Indices (2015=100),Jan 1 2013,96.076918
3626,Food Indices (2015=100),Jan 1 2014,97.393302
3627,Food Indices (2015=100),Jan 1 2015,99.269307
3628,Food Indices (2015=100),Jan 1 2016,101.094438
3629,Food Indices (2015=100),Jan 1 2017,101.247062
3630,Food Indices (2015=100),Jan 1 2018,103.421957
3631,Food Indices (2015=100),Jan 1 2019,105.818873
3632,Food Indices (2015=100),Jan 1 2020,108.591328
3633,Food Indices (2015=100),Jan 1 2021,108.781802
3634,Food Indices (2015=100),Feb 1 2000,62.708137
3635,Food Indices (2015=100),Feb 1 2001,63.701515
3636,Food Indices (2015=100),Feb 1 2002,65.151445
3637,Food Indices (2015=100),Feb 1 2003,64.019482
3638,Food Indices (2015=100),Feb 1 2004,64.90343
3639,Food Indices (2015=100),Feb 1 2005,67.065606
3640,Food Indices (2015=100),Feb 1 2006,67.987711
3641,Food Indices (2015=100),Feb 1 2007,69.901872
3642,Food Indices (2015=100),Feb 1 2008,73.959131
3643,Food Indices (2015=100),Feb 1 2009,79.231025
3644,Food Indices (2015=100),Feb 1 2010,82.932161
3645,Food Indices (2015=100),Feb 1 2011,88.108664
3646,Food Indices (2015=100),Feb 1 2012,92.623796
3647,Food Indices (2015=100),Feb 1 2013,96.801883
3648,Food Indices (2015=100),Feb 1 2014,97.425098
3649,Food Indices (2015=100),Feb 1 2015,100.534816
3650,Food Indices (2015=100),Feb 1 2016,100.820986
3651,Food Indices (2015=100),Feb 1 2017,101.863918
3652,Food Indices (2015=100),Feb 1 2018,103.498269
3653,Food Indices (2015=100),Feb 1 2019,105.818873
3654,Food Indices (2015=100),Feb 1 2020,109.55428
3655,Food Indices (2015=100),Feb 1 2021,108.083397
3656,Food Indices (2015=100),Mar 1 2000,62.789342
3657,Food Indices (2015=100),Mar 1 2001,63.790546
3658,Food Indices (2015=100),Mar 1 2002,65.685629
3659,Food Indices (2015=100),Mar 1 2003,63.548891
3660,Food Indices (2015=100),Mar 1 2004,65.622036
3661,Food Indices (2015=100),Mar 1 2005,67.402651
3662,Food Indices (2015=100),Mar 1 2006,67.987711
3663,Food Indices (2015=100),Mar 1 2007,69.889153
3664,Food Indices (2015=100),Mar 1 2008,75.161047
3665,Food Indices (2015=100),Mar 1 2009,79.911474
3666,Food Indices (2015=100),Mar 1 2010,83.574454
3667,Food Indices (2015=100),Mar 1 2011,88.789114
3668,Food Indices (2015=100),Mar 1 2012,91.987862
3669,Food Indices (2015=100),Mar 1 2013,96.134152
3670,Food Indices (2015=100),Mar 1 2014,97.221599
3671,Food Indices (2015=100),Mar 1 2015,99.841648
3672,Food Indices (2015=100),Mar 1 2016,99.606352
3673,Food Indices (2015=100),Mar 1 2017,102.175526
3674,Food Indices (2015=100),Mar 1 2018,103.161224
3675,Food Indices (2015=100),Mar 1 2019,104.168099
3676,Food Indices (2015=100),Mar 1 2020,108.189216
