,symbol,date,price
5160,Food Indices (2015=100),Jan 1 2000,52.070649
5161,Food Indices (2015=100),Jan 1 2001,54.105991
5162,Food Indices (2015=100),Jan 1 2002,56.317669
5163,Food Indices (2015=100),Jan 1 2003,57.823302
5164,Food Indices (2015=100),Jan 1 2004,59.456641
5165,Food Indices (2015=100),Jan 1 2005,61.467406
5166,Food Indices (2015=100),Jan 1 2006,64.028039
5167,Food Indices (2015=100),Jan 1 2007,71.714007
5168,Food Indices (2015=100),Jan 1 2008,79.27882
5169,Food Indices (2015=100),Jan 1 2009,87.049829
5170,Food Indices (2015=100),Jan 1 2010,85.04059
5171,Food Indices (2015=100),Jan 1 2011,86.43827
5172,Food Indices (2015=100),Jan 1 2012,92.70733
5173,Food Indices (2015=100),Jan 1 2013,94.123755
5174,Food Indices (2015=100),Jan 1 2014,95.706543
5175,Food Indices (2015=100),Jan 1 2015,100.95751
5176,Food Indices (2015=100),Jan 1 2016,101.140275
5177,Food Indices (2015=100),Jan 1 2017,97.052675
5178,Food Indices (2015=100),Jan 1 2018,99.157982
5179,Food Indices (2015=100),Jan 1 2019,111.205213
5180,Food Indices (2015=100),Jan 1 2020,116.573337
5181,Food Indices (2015=100),Jan 1 2021,113.008256
5182,Food Indices (2015=100),Feb 1 2000,52.239845
5183,Food Indices (2015=100),Feb 1 2001,54.268674
5184,Food Indices (2015=100),Feb 1 2002,56.486859
5185,Food Indices (2015=100),Feb 1 2003,57.857465
5186,Food Indices (2015=100),Feb 1 2004,59.642914
5187,Food Indices (2015=100),Feb 1 2005,61.848898
5188,Food Indices (2015=100),Feb 1 2006,64.019905
5189,Food Indices (2015=100),Feb 1 2007,72.468496
5190,Food Indices (2015=100),Feb 1 2008,79.687697
5191,Food Indices (2015=100),Feb 1 2009,87.247824
5192,Food Indices (2015=100),Feb 1 2010,84.953894
5193,Food Indices (2015=100),Feb 1 2011,87.034598
5194,Food Indices (2015=100),Feb 1 2012,93.132609
5195,Food Indices (2015=100),Feb 1 2013,94.893475
5196,Food Indices (2015=100),Feb 1 2014,96.061528
5197,Food Indices (2015=100),Feb 1 2015,100.232309
5198,Food Indices (2015=100),Feb 1 2016,100.260427
5199,Food Indices (2015=100),Feb 1 2017,96.767984
5200,Food Indices (2015=100),Feb 1 2018,101.819784
5201,Food Indices (2015=100),Feb 1 2019,111.689071
5202,Food Indices (2015=100),Feb 1 2020,116.001612
5203,Food Indices (2015=100),Feb 1 2021,112.947335
5204,Food Indices (2015=100),Mar 1 2000,52.409041
5205,Food Indices (2015=100),Mar 1 2001,54.428104
5206,Food Indices (2015=100),Mar 1 2002,56.52753
5207,Food Indices (2015=100),Mar 1 2003,57.820862
5208,Food Indices (2015=100),Mar 1 2004,59.975601
5209,Food Indices (2015=100),Mar 1 2005,62.00182
5210,Food Indices (2015=100),Mar 1 2006,64.201297
5211,Food Indices (2015=100),Mar 1 2007,72.899633
5212,Food Indices (2015=100),Mar 1 2008,80.540598
5213,Food Indices (2015=100),Mar 1 2009,87.348579
5214,Food Indices (2015=100),Mar 1 2010,84.718409
5215,Food Indices (2015=100),Mar 1 2011,88.090181
5216,Food Indices (2015=100),Mar 1 2012,92.952187
5217,Food Indices (2015=100),Mar 1 2013,94.928622
5218,Food Indices (2015=100),Mar 1 2014,96.401283
5219,Food Indices (2015=100),Mar 1 2015,99.924187
5220,Food Indices (2015=100),Mar 1 2016,99.193129
5221,Food Indices (2015=100),Mar 1 2017,96.984724
5222,Food Indices (2015=100),Mar 1 2018,101.340613
5223,Food Indices (2015=100),Mar 1 2019,114.075554
5224,Food Indices (2015=100),Mar 1 2020,115.367794
5225,Food Indices (2015=100),Mar 1 2021,112.574776
5226,Food Indices (2015=100),Apr 1 2000,52.578237
5227,Food Indices (2015=100),Apr 1 2001,54.655047
5228,Food Indices (2015=100),Apr 1 2002,56.760981
5229,Food Indices (2015=100),Apr 1 2003,57.969717
5230,Food Indices (2015=100),Apr 1 2004,60.13015
5231,Food Indices (2015=100),Apr 1 2005,62.044931
5232,Food Indices (2015=100),Apr 1 2006,64.287519
5233,Food Indices (2015=100),Apr 1 2007,73.367089
5234,Food Indices (2015=100),Apr 1 2008,81.293916
5235,Food Indices (2015=100),Apr 1 2009,87.643814
5236,Food Indices (2015=100),Apr 1 2010,85.29482
5237,Food Indices (2015=100),Apr 1 2011,88.134701
5238,Food Indices (2015=100),Apr 1 2012,93.143153
5239,Food Indices (2015=100),Apr 1 2013,94.847784
5240,Food Indices (2015=100),Apr 1 2014,96.648484
5241,Food Indices (2015=100),Apr 1 2015,99.956991
5242,Food Indices (2015=100),Apr 1 2016,98.860404
5243,Food Indices (2015=100),Apr 1 2017,97.353767
5244,Food Indices (2015=100),Apr 1 2018,102.315357
5245,Food Indices (2015=100),Apr 1 2019,114.3415
5246,Food Indices (2015=100),Apr 1 2020,116.013327
5247,Food Indices (2015=100),Apr 1 2021,113.101982
5248,Food Indices (2015=100),May 1 2000,52.747434
5249,Food Indices (2015=100),May 1 2001,54.616816
5250,Food Indices (2015=100),May 1 2002,56.808972
5251,Food Indices (2015=100),May 1 2003,58.072207
5252,Food Indices (2015=100),May 1 2004,60.204171
5253,Food Indices (2015=100),May 1 2005,62.344268
5254,Food Indices (2015=100),May 1 2006,64.371301
5255,Food Indices (2015=100),May 1 2007,74.524598
5256,Food Indices (2015=100),May 1 2008,82.007401
5257,Food Indices (2015=100),May 1 2009,87.634441
5258,Food Indices (2015=100),May 1 2010,85.16009
5259,Food Indices (2015=100),May 1 2011,88.615043
5260,Food Indices (2015=100),May 1 2012,93.377466
5261,Food Indices (2015=100),May 1 2013,94.847784
5262,Food Indices (2015=100),May 1 2014,96.899199
5263,Food Indices (2015=100),May 1 2015,99.243506
5264,Food Indices (2015=100),May 1 2016,99.426271
5265,Food Indices (2015=100),May 1 2017,97.421718
5266,Food Indices (2015=100),May 1 2018,102.721891
5267,Food Indices (2015=100),May 1 2019,115.771984
5268,Food Indices (2015=100),May 1 2020,115.023353
5269,Food Indices (2015=100),May 1 2021,113.271859
5270,Food Indices (2015=100),Jun 1 2000,52.91663
5271,Food Indices (2015=100),Jun 1 2001,55.056061
5272,Food Indices (2015=100),Jun 1 2002,56.852083
5273,Food Indices (2015=100),Jun 1 2003,58.247905
5274,Food Indices (2015=100),Jun 1 2004,60.457143
5275,Food Indices (2015=100),Jun 1 2005,62.349962
5276,Food Indices (2015=100),Jun 1 2006,64.809732
5277,Food Indices (2015=100),Jun 1 2007,75.340009
5278,Food Indices (2015=100),Jun 1 2008,82.989175
5279,Food Indices (2015=100),Jun 1 2009,87.540716
5280,Food Indices (2015=100),Jun 1 2010,84.98787
5281,Food Indices (2015=100),Jun 1 2011,89.212543
5282,Food Indices (2015=100),Jun 1 2012,93.487594
5283,Food Indices (2015=100),Jun 1 2013,94.946196
5284,Food Indices (2015=100),Jun 1 2014,97.267071
5285,Food Indices (2015=100),Jun 1 2015,98.90258
5286,Food Indices (2015=100),Jun 1 2016,99.549285
5287,Food Indices (2015=100),Jun 1 2017,97.277616
5288,Food Indices (2015=100),Jun 1 2018,103.38617
5289,Food Indices (2015=100),Jun 1 2019,117.156778
5290,Food Indices (2015=100),Jun 1 2020,114.496147
5291,Food Indices (2015=100),Jun 1 2021,113.162903
5292,Food Indices (2015=100),Jul 1 2000,53.085826
5293,Food Indices (2015=100),Jul 1 2001,55.044673
5294,Food Indices (2015=100),Jul 1 2002,56.84883
5295,Food Indices (2015=100),Jul 1 2003,58.728634
5296,Food Indices (2015=100),Jul 1 2004,60.501881
5297,Food Indices (2015=100),Jul 1 2005,62.587479
5298,Food Indices (2015=100),Jul 1 2006,65.323811
5299,Food Indices (2015=100),Jul 1 2007,76.026548
5300,Food Indices (2015=100),Jul 1 2008,84.410287
5301,Food Indices (2015=100),Jul 1 2009,87.497368
