,symbol,date,indices
8772,Food Indices (2015=100),Jan 1 2000,47.223854
8773,Food Indices (2015=100),Jan 1 2001,48.526466
8774,Food Indices (2015=100),Jan 1 2002,50.924209
8775,Food Indices (2015=100),Jan 1 2003,51.859896
8776,Food Indices (2015=100),Jan 1 2004,53.372359
8777,Food Indices (2015=100),Jan 1 2005,55.893853
8778,Food Indices (2015=100),Jan 1 2006,59.864882
8779,Food Indices (2015=100),Jan 1 2007,64.538978
8780,Food Indices (2015=100),Jan 1 2008,69.464789
8781,Food Indices (2015=100),Jan 1 2009,78.638386
8782,Food Indices (2015=100),Jan 1 2010,82.309932
8783,Food Indices (2015=100),Jan 1 2011,85.981478
8784,Food Indices (2015=100),Jan 1 2012,89.653023
8785,Food Indices (2015=100),Jan 1 2013,93.324569
8786,Food Indices (2015=100),Jan 1 2014,95.625033
8787,Food Indices (2015=100),Jan 1 2015,101.008583
8788,Food Indices (2015=100),Jan 1 2016,101.522249
8789,Food Indices (2015=100),Jan 1 2017,114.973991
8790,Food Indices (2015=100),Jan 1 2018,119.527394
8791,Food Indices (2015=100),Jan 1 2019,118.658735
8792,Food Indices (2015=100),Jan 1 2020,132.613375
8793,Food Indices (2015=100),Jan 1 2021,139.023568
8794,Food Indices (2015=100),Feb 1 2000,47.323071
8795,Food Indices (2015=100),Feb 1 2001,48.737696
8796,Food Indices (2015=100),Feb 1 2002,50.998421
8797,Food Indices (2015=100),Feb 1 2003,51.979244
8798,Food Indices (2015=100),Feb 1 2004,53.571995
8799,Food Indices (2015=100),Feb 1 2005,56.219347
8800,Food Indices (2015=100),Feb 1 2006,60.255475
8801,Food Indices (2015=100),Feb 1 2007,64.916551
8802,Food Indices (2015=100),Feb 1 2008,70.237295
8803,Food Indices (2015=100),Feb 1 2009,78.944348
8804,Food Indices (2015=100),Feb 1 2010,82.615894
8805,Food Indices (2015=100),Feb 1 2011,86.28744
8806,Food Indices (2015=100),Feb 1 2012,89.958986
8807,Food Indices (2015=100),Feb 1 2013,93.630531
8808,Food Indices (2015=100),Feb 1 2014,95.650877
8809,Food Indices (2015=100),Feb 1 2015,97.772751
8810,Food Indices (2015=100),Feb 1 2016,102.491465
8811,Food Indices (2015=100),Feb 1 2017,112.534092
8812,Food Indices (2015=100),Feb 1 2018,119.481729
8813,Food Indices (2015=100),Feb 1 2019,120.052963
8814,Food Indices (2015=100),Feb 1 2020,125.772515
8815,Food Indices (2015=100),Feb 1 2021,135.217927
8816,Food Indices (2015=100),Mar 1 2000,47.422287
8817,Food Indices (2015=100),Mar 1 2001,48.948926
8818,Food Indices (2015=100),Mar 1 2002,51.072634
8819,Food Indices (2015=100),Mar 1 2003,52.098592
8820,Food Indices (2015=100),Mar 1 2004,53.771632
8821,Food Indices (2015=100),Mar 1 2005,56.544842
8822,Food Indices (2015=100),Mar 1 2006,60.646068
8823,Food Indices (2015=100),Mar 1 2007,65.294124
8824,Food Indices (2015=100),Mar 1 2008,71.009801
8825,Food Indices (2015=100),Mar 1 2009,79.25031
8826,Food Indices (2015=100),Mar 1 2010,82.921856
8827,Food Indices (2015=100),Mar 1 2011,86.593402
8828,Food Indices (2015=100),Mar 1 2012,90.264948
8829,Food Indices (2015=100),Mar 1 2013,93.936494
8830,Food Indices (2015=100),Mar 1 2014,94.912673
8831,Food Indices (2015=100),Mar 1 2015,97.772751
8832,Food Indices (2015=100),Mar 1 2016,103.314245
8833,Food Indices (2015=100),Mar 1 2017,109.745637
8834,Food Indices (2015=100),Mar 1 2018,116.892685
8835,Food Indices (2015=100),Mar 1 2019,119.953375
8836,Food Indices (2015=100),Mar 1 2020,127.52959
8837,Food Indices (2015=100),Mar 1 2021,131.412285
8838,Food Indices (2015=100),Apr 1 2000,47.521504
8839,Food Indices (2015=100),Apr 1 2001,49.160156
8840,Food Indices (2015=100),Apr 1 2002,51.146847
8841,Food Indices (2015=100),Apr 1 2003,52.21794
8842,Food Indices (2015=100),Apr 1 2004,53.971268
8843,Food Indices (2015=100),Apr 1 2005,56.870336
8844,Food Indices (2015=100),Apr 1 2006,61.036661
8845,Food Indices (2015=100),Apr 1 2007,65.671697
8846,Food Indices (2015=100),Apr 1 2008,71.782307
8847,Food Indices (2015=100),Apr 1 2009,79.556273
8848,Food Indices (2015=100),Apr 1 2010,83.227818
8849,Food Indices (2015=100),Apr 1 2011,86.899364
8850,Food Indices (2015=100),Apr 1 2012,90.57091
8851,Food Indices (2015=100),Apr 1 2013,94.242456
8852,Food Indices (2015=100),Apr 1 2014,95.091936
8853,Food Indices (2015=100),Apr 1 2015,96.932894
8854,Food Indices (2015=100),Apr 1 2016,102.939671
8855,Food Indices (2015=100),Apr 1 2017,107.853471
8856,Food Indices (2015=100),Apr 1 2018,114.841766
8857,Food Indices (2015=100),Apr 1 2019,118.011415
