,symbol,date,price
9804,Food Indices (2015=100),Jan 1 2000,68.25951
9805,Food Indices (2015=100),Jan 1 2001,70.11822
9806,Food Indices (2015=100),Jan 1 2002,74.66936
9807,Food Indices (2015=100),Jan 1 2003,74.6146
9808,Food Indices (2015=100),Jan 1 2004,76.30451
9809,Food Indices (2015=100),Jan 1 2005,76.82901
9810,Food Indices (2015=100),Jan 1 2006,78.24707
9811,Food Indices (2015=100),Jan 1 2007,82.05578
9812,Food Indices (2015=100),Jan 1 2008,86.64804
9813,Food Indices (2015=100),Jan 1 2009,90.06001
9814,Food Indices (2015=100),Jan 1 2010,89.6236
9815,Food Indices (2015=100),Jan 1 2011,91.74615
9816,Food Indices (2015=100),Jan 1 2012,94.47374
9817,Food Indices (2015=100),Jan 1 2013,97.98489
9818,Food Indices (2015=100),Jan 1 2014,99.56194
9819,Food Indices (2015=100),Jan 1 2015,98.71886
9820,Food Indices (2015=100),Jan 1 2016,100.5439
9821,Food Indices (2015=100),Jan 1 2017,102.7061
9822,Food Indices (2015=100),Jan 1 2018,105.0072
9823,Food Indices (2015=100),Jan 1 2019,106.485
9824,Food Indices (2015=100),Jan 1 2020,107.6455
9825,Food Indices (2015=100),Jan 1 2021,108.9845
9826,Food Indices (2015=100),Feb 1 2000,68.3963
9827,Food Indices (2015=100),Feb 1 2001,70.15555
9828,Food Indices (2015=100),Feb 1 2002,73.93147
9829,Food Indices (2015=100),Feb 1 2003,74.96415
9830,Food Indices (2015=100),Feb 1 2004,76.34698
9831,Food Indices (2015=100),Feb 1 2005,77.44354
9832,Food Indices (2015=100),Feb 1 2006,78.82234
9833,Food Indices (2015=100),Feb 1 2007,82.1748
9834,Food Indices (2015=100),Feb 1 2008,86.79682
9835,Food Indices (2015=100),Feb 1 2009,89.9509
9836,Food Indices (2015=100),Feb 1 2010,89.93107
9837,Food Indices (2015=100),Feb 1 2011,92.17265
9838,Food Indices (2015=100),Feb 1 2012,95.32673
9839,Food Indices (2015=100),Feb 1 2013,98.57008
9840,Food Indices (2015=100),Feb 1 2014,99.28422
9841,Food Indices (2015=100),Feb 1 2015,99.15527
9842,Food Indices (2015=100),Feb 1 2016,100.9406
9843,Food Indices (2015=100),Feb 1 2017,103.5591
9844,Food Indices (2015=100),Feb 1 2018,104.9278
9845,Food Indices (2015=100),Feb 1 2019,106.4751
9846,Food Indices (2015=100),Feb 1 2020,108.3696
9847,Food Indices (2015=100),Feb 1 2021,108.1414
9848,Food Indices (2015=100),Mar 1 2000,68.44427
9849,Food Indices (2015=100),Mar 1 2001,70.93409
9850,Food Indices (2015=100),Mar 1 2002,74.38808
9851,Food Indices (2015=100),Mar 1 2003,75.34991
9852,Food Indices (2015=100),Mar 1 2004,76.647
9853,Food Indices (2015=100),Mar 1 2005,78.74667
9854,Food Indices (2015=100),Mar 1 2006,78.92153
9855,Food Indices (2015=100),Mar 1 2007,82.09545
9856,Food Indices (2015=100),Mar 1 2008,87.21339
9857,Food Indices (2015=100),Mar 1 2009,89.81204
9858,Food Indices (2015=100),Mar 1 2010,90.46667
9859,Food Indices (2015=100),Mar 1 2011,92.01395
9860,Food Indices (2015=100),Mar 1 2012,95.37633
9861,Food Indices (2015=100),Mar 1 2013,98.93707
9862,Food Indices (2015=100),Mar 1 2014,99.20486
9863,Food Indices (2015=100),Mar 1 2015,99.13544
9864,Food Indices (2015=100),Mar 1 2016,102.6267
9865,Food Indices (2015=100),Mar 1 2017,104.1542
9866,Food Indices (2015=100),Mar 1 2018,105.8899
9867,Food Indices (2015=100),Mar 1 2019,107.1099
9868,Food Indices (2015=100),Mar 1 2020,109.6193
9869,Food Indices (2015=100),Mar 1 2021,108.9845
9870,Food Indices (2015=100),Apr 1 2000,69.46735
