,symbol,date,indices
11352,Food Indices (2015=100),Jan 1 2000,37.420368
11353,Food Indices (2015=100),Jan 1 2001,37.795661
11354,Food Indices (2015=100),Jan 1 2002,38.386065
11355,Food Indices (2015=100),Jan 1 2003,39.117626
11356,Food Indices (2015=100),Jan 1 2004,39.964584
11357,Food Indices (2015=100),Jan 1 2005,41.499363
11358,Food Indices (2015=100),Jan 1 2006,43.113549
11359,Food Indices (2015=100),Jan 1 2007,45.381298
11360,Food Indices (2015=100),Jan 1 2008,49.607497
11361,Food Indices (2015=100),Jan 1 2009,54.965597
11362,Food Indices (2015=100),Jan 1 2010,61.64644
11363,Food Indices (2015=100),Jan 1 2011,68.010088
11364,Food Indices (2015=100),Jan 1 2012,74.055224
11365,Food Indices (2015=100),Jan 1 2013,83.238136
11366,Food Indices (2015=100),Jan 1 2014,93.882743
11367,Food Indices (2015=100),Jan 1 2015,98.879387
11368,Food Indices (2015=100),Jan 1 2016,102.077035
11369,Food Indices (2015=100),Jan 1 2017,108.952531
11370,Food Indices (2015=100),Jan 1 2018,116.321567
11371,Food Indices (2015=100),Jan 1 2019,120.6553
11372,Food Indices (2015=100),Jan 1 2020,125.67135
11373,Food Indices (2015=100),Jan 1 2021,146.386029
11374,Food Indices (2015=100),Feb 1 2000,37.450134
11375,Food Indices (2015=100),Feb 1 2001,37.843532
11376,Food Indices (2015=100),Feb 1 2002,38.449893
11377,Food Indices (2015=100),Feb 1 2003,39.147085
11378,Food Indices (2015=100),Feb 1 2004,40.024926
11379,Food Indices (2015=100),Feb 1 2005,42.004397
11380,Food Indices (2015=100),Feb 1 2006,43.235953
11381,Food Indices (2015=100),Feb 1 2007,45.556348
11382,Food Indices (2015=100),Feb 1 2008,50.155021
11383,Food Indices (2015=100),Feb 1 2009,54.995868
11384,Food Indices (2015=100),Feb 1 2010,62.043921
11385,Food Indices (2015=100),Feb 1 2011,68.658956
11386,Food Indices (2015=100),Feb 1 2012,75.241087
11387,Food Indices (2015=100),Feb 1 2013,83.758023
11388,Food Indices (2015=100),Feb 1 2014,94.058591
11389,Food Indices (2015=100),Feb 1 2015,98.905819
11390,Food Indices (2015=100),Feb 1 2016,101.699855
11391,Food Indices (2015=100),Feb 1 2017,110.195063
11392,Food Indices (2015=100),Feb 1 2018,116.75453
11393,Food Indices (2015=100),Feb 1 2019,120.507362
11394,Food Indices (2015=100),Feb 1 2020,126.100492
11395,Food Indices (2015=100),Feb 1 2021,146.985332
11396,Food Indices (2015=100),Mar 1 2000,37.4799
11397,Food Indices (2015=100),Mar 1 2001,37.891402
11398,Food Indices (2015=100),Mar 1 2002,38.51372
11399,Food Indices (2015=100),Mar 1 2003,39.176543
11400,Food Indices (2015=100),Mar 1 2004,40.085268
11401,Food Indices (2015=100),Mar 1 2005,42.509431
11402,Food Indices (2015=100),Mar 1 2006,43.358356
